evento_id,falha,inicio,fim,duracao_pts
oscilacao_001,oscilacao,2023-11-03 12:30:00,2023-11-03 22:40:00,62
oscilacao_002,oscilacao,2023-10-14 04:00:00,2023-10-14 13:30:00,58
oscilacao_003,oscilacao,2023-10-20 19:10:00,2023-10-21 04:20:00,56
oscilacao_004,oscilacao,2023-10-21 04:30:00,2023-10-21 15:40:00,68
oscilacao_005,oscilacao,2023-10-22 01:30:00,2023-10-22 11:00:00,58
oscilacao_006,oscilacao,2023-11-03 22:50:00,2023-11-04 06:00:00,44
oscilacao_007,oscilacao,2023-10-16 23:00:00,2023-10-17 05:00:00,37
oscilacao_008,oscilacao,2023-10-15 05:50:00,2023-10-15 14:40:00,54
oscilacao_009,oscilacao,2023-10-30 15:20:00,2023-10-30 21:40:00,39
oscilacao_010,oscilacao,2023-11-01 04:40:00,2023-11-01 13:10:00,52
oscilacao_011,oscilacao,2023-11-07 09:40:00,2023-11-07 19:00:00,57
oscilacao_012,oscilacao,2023-10-11 18:30:00,2023-10-12 04:30:00,61
oscilacao_013,oscilacao,2023-10-11 10:50:00,2023-10-11 17:00:00,38
oscilacao_014,oscilacao,2023-10-22 20:20:00,2023-10-23 05:10:00,54
oscilacao_015,oscilacao,2023-10-19 15:10:00,2023-10-19 21:20:00,38
oscilacao_016,oscilacao,2023-11-01 13:20:00,2023-11-01 23:00:00,59
oscilacao_017,oscilacao,2023-10-08 06:30:00,2023-10-08 15:00:00,52
oscilacao_018,oscilacao,2023-10-17 15:00:00,2023-10-17 23:50:00,54
oscilacao_019,oscilacao,2023-10-09 19:00:00,2023-10-10 00:50:00,36
oscilacao_020,oscilacao,2023-11-02 10:10:00,2023-11-02 20:40:00,64
oscilacao_021,oscilacao,2023-10-10 01:00:00,2023-10-10 08:30:00,46
oscilacao_022,oscilacao,2023-10-08 15:10:00,2023-10-09 00:30:00,57
oscilacao_023,oscilacao,2023-10-23 05:20:00,2023-10-23 16:40:00,69
oscilacao_024,oscilacao,2023-11-05 01:00:00,2023-11-05 08:10:00,44
oscilacao_025,oscilacao,2023-10-20 11:40:00,2023-10-20 19:00:00,45
oscilacao_026,oscilacao,2023-10-20 05:00:00,2023-10-20 11:30:00,40
oscilacao_027,oscilacao,2023-10-14 13:40:00,2023-10-15 00:50:00,68
oscilacao_028,oscilacao,2023-11-06 23:30:00,2023-11-07 08:40:00,56
lacuna_001,lacuna,2023-10-21 15:50:00,2023-10-21 23:00:00,44
lacuna_002,lacuna,2023-10-07 18:10:00,2023-10-08 01:50:00,47
lacuna_003,lacuna,2023-11-06 15:50:00,2023-11-06 23:20:00,46
lacuna_004,lacuna,2023-10-27 06:40:00,2023-10-27 12:00:00,33
lacuna_005,lacuna,2023-10-18 11:00:00,2023-10-18 16:30:00,34
lacuna_006,lacuna,2023-11-03 05:30:00,2023-11-03 10:20:00,30
lacuna_007,lacuna,2023-10-25 01:10:00,2023-10-25 06:40:00,34
lacuna_008,lacuna,2023-10-10 18:20:00,2023-10-10 23:40:00,33
lacuna_009,lacuna,2023-10-28 00:00:00,2023-10-28 06:00:00,37
lacuna_010,lacuna,2023-11-04 18:00:00,2023-11-05 00:50:00,42
lacuna_011,lacuna,2023-10-27 02:30:00,2023-10-27 06:30:00,25
lacuna_012,lacuna,2023-10-25 08:50:00,2023-10-25 14:50:00,37
lacuna_013,lacuna,2023-10-13 00:10:00,2023-10-13 07:10:00,43
lacuna_014,lacuna,2023-10-16 10:10:00,2023-10-16 17:40:00,46
lacuna_015,lacuna,2023-10-19 00:00:00,2023-10-19 05:10:00,32
lacuna_016,lacuna,2023-10-25 15:00:00,2023-10-25 22:30:00,46
lacuna_017,lacuna,2023-10-29 18:40:00,2023-10-29 22:40:00,25
lacuna_018,lacuna,2023-11-05 16:00:00,2023-11-05 22:20:00,39
lacuna_019,lacuna,2023-11-01 23:50:00,2023-11-02 05:20:00,34
lacuna_020,lacuna,2023-10-19 21:30:00,2023-10-20 02:50:00,33
lacuna_021,lacuna,2023-10-10 11:10:00,2023-10-10 18:10:00,43
lacuna_022,lacuna,2023-11-06 10:10:00,2023-11-06 15:40:00,34
lacuna_023,lacuna,2023-10-13 07:20:00,2023-10-13 11:40:00,27
lacuna_024,lacuna,2023-10-29 05:00:00,2023-10-29 12:40:00,47
lacuna_025,lacuna,2023-10-09 12:50:00,2023-10-09 18:50:00,37
lacuna_026,lacuna,2023-11-06 02:20:00,2023-11-06 10:00:00,47
lacuna_027,lacuna,2023-10-24 00:40:00,2023-10-24 07:10:00,40
queda_001,queda,2023-10-28 19:20:00,2023-10-28 22:40:00,21
queda_002,queda,2023-10-18 16:40:00,2023-10-18 21:10:00,28
queda_003,queda,2023-10-08 02:30:00,2023-10-08 06:20:00,24
queda_004,queda,2023-10-29 00:40:00,2023-10-29 04:50:00,26
queda_005,queda,2023-10-27 12:10:00,2023-10-27 17:40:00,34
queda_006,queda,2023-10-31 23:20:00,2023-11-01 04:30:00,32
queda_007,queda,2023-10-28 15:10:00,2023-10-28 19:10:00,25
queda_008,queda,2023-10-26 20:50:00,2023-10-27 02:20:00,34
queda_009,queda,2023-10-17 05:10:00,2023-10-17 08:20:00,20
queda_010,queda,2023-10-26 04:50:00,2023-10-26 10:00:00,32
queda_011,queda,2023-10-18 00:50:00,2023-10-18 06:00:00,32
queda_012,queda,2023-10-19 05:20:00,2023-10-19 10:00:00,29
queda_013,queda,2023-10-28 06:10:00,2023-10-28 11:50:00,35
queda_014,queda,2023-10-09 00:40:00,2023-10-09 03:30:00,18
queda_015,queda,2023-10-12 07:50:00,2023-10-12 11:10:00,21
queda_016,queda,2023-11-02 20:50:00,2023-11-03 01:50:00,31
queda_017,queda,2023-11-05 10:00:00,2023-11-05 15:50:00,36
queda_018,queda,2023-10-29 22:50:00,2023-10-30 04:30:00,35
queda_019,queda,2023-10-10 23:50:00,2023-10-11 03:30:00,23
queda_020,queda,2023-10-16 17:50:00,2023-10-16 20:40:00,18
queda_021,queda,2023-10-31 08:30:00,2023-10-31 14:10:00,35
queda_022,queda,2023-10-17 08:30:00,2023-10-17 13:40:00,32
queda_023,queda,2023-10-30 21:50:00,2023-10-31 01:00:00,20
queda_024,queda,2023-10-23 16:50:00,2023-10-23 20:40:00,24
queda_025,queda,2023-10-26 10:10:00,2023-10-26 15:30:00,33
