Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,17,24,7,425,26,433,57,0.9117959617428267,0.9423503325942351,0.8817427385892116,0.9110396570203644,0.9125489292074598
10,17,24,7,206,12,219,34,0.9023354564755839,0.944954128440367,0.8583333333333333,0.8995633187772926,0.9031926406926407
15,15,18,3,138,8,146,22,0.9044585987261147,0.9452054794520548,0.8625,0.9019607843137255,0.905275974025974
20,17,20,3,99,7,109,21,0.8813559322033898,0.9339622641509434,0.825,0.8761061946902655,0.8823275862068966
25,13,17,4,69,4,86,30,0.8201058201058201,0.9452054794520548,0.696969696969697,0.8023255813953488,0.8262626262626263
30,14,17,3,69,4,74,10,0.910828025477707,0.9452054794520548,0.8734177215189873,0.9078947368421053,0.911067835118468
35,13,17,4,53,5,62,15,0.8518518518518519,0.9137931034482759,0.7794117647058824,0.8412698412698413,0.8523924495171202
40,17,19,2,50,7,53,8,0.8728813559322034,0.8771929824561403,0.8620689655172413,0.8695652173913043,0.8727011494252873
45,14,15,1,41,3,48,13,0.8476190476190476,0.9318181818181818,0.7592592592592593,0.8367346938775511,0.8502178649237473
50,12,13,1,33,3,43,16,0.8,0.9166666666666666,0.673469387755102,0.7764705882352941,0.8041259982253771
