Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,18,16,-2,311,35,557,36,0.9243876464323749,0.8988439306358381,0.8962536023054755,0.8975468975468975,0.918565990341927
10,17,16,-1,152,18,276,24,0.9106382978723404,0.8941176470588236,0.8636363636363636,0.8786127167630058,0.9012059369202227
15,16,16,0,102,10,186,15,0.9201277955271565,0.9107142857142857,0.8717948717948718,0.8908296943231441,0.9103872318158033
20,16,17,1,75,8,139,13,0.9106382978723404,0.9036144578313253,0.8522727272727273,0.8771929824561403,0.8989254792826222
25,16,17,1,60,6,112,10,0.9148936170212766,0.9090909090909091,0.8571428571428571,0.8823529411764706,0.9031476997578692
30,16,16,0,49,6,93,9,0.9044585987261147,0.8909090909090909,0.8448275862068966,0.8672566371681416,0.892110762800418
35,16,17,1,44,3,80,8,0.9185185185185185,0.9361702127659575,0.8461538461538461,0.8888888888888888,0.9050046339202966
40,16,15,-1,36,1,72,9,0.9152542372881356,0.972972972972973,0.8,0.8780487804878049,0.8931506849315068
45,16,17,1,35,2,65,3,0.9523809523809523,0.9459459459459459,0.9210526315789473,0.9333333333333333,0.9456009426551453
50,16,18,2,27,3,58,6,0.9042553191489362,0.9,0.8181818181818182,0.8571428571428571,0.8845007451564828
55,15,15,0,29,1,51,5,0.9302325581395349,0.9666666666666667,0.8529411764705882,0.90625,0.9168552036199095
60,16,15,-1,23,1,49,6,0.9113924050632911,0.9583333333333334,0.7931034482758621,0.8679245283018868,0.886551724137931
