Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,18,21,3,289,49,577,26,0.9202975557917109,0.8550295857988166,0.9174603174603174,0.885145482388974,0.9195927785384654
10,18,18,0,142,25,286,18,0.9087048832271762,0.8502994011976048,0.8875,0.8685015290519877,0.9035570739549839
15,17,18,1,95,19,192,8,0.9140127388535032,0.8333333333333334,0.9223300970873787,0.8755760368663594,0.9161413518612249
20,18,17,-1,69,16,141,10,0.8898305084745762,0.8117647058823529,0.8734177215189873,0.8414634146341463,0.8857534467467548
25,18,17,-1,59,13,110,7,0.8941798941798942,0.8194444444444444,0.8939393939393939,0.855072463768116,0.8941241685144123
30,16,16,0,47,9,95,6,0.9044585987261147,0.8392857142857143,0.8867924528301887,0.8623853211009175,0.9001269956458635
35,16,17,1,45,11,78,1,0.9111111111111111,0.8035714285714286,0.9782608695652174,0.8823529411764706,0.92733268197362
40,16,15,-1,37,8,69,4,0.8983050847457628,0.8222222222222222,0.9024390243902439,0.8604651162790697,0.8992714602470699
45,16,16,0,35,6,63,1,0.9333333333333333,0.8536585365853658,0.9722222222222222,0.9090909090909091,0.9426328502415459
50,18,17,-1,27,4,60,4,0.9157894736842105,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.904233870967742
