Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,1,1,0,45,890,0,0.9518716577540107,0.0,0.0,0.0,0.9518716577540107
10,0,1,1,0,22,446,0,0.9529914529914529,0.0,0.0,0.0,0.9529914529914529
15,0,1,1,0,14,298,0,0.9551282051282052,0.0,0.0,0.0,0.9551282051282052
20,0,1,1,0,11,223,0,0.9529914529914529,0.0,0.0,0.0,0.9529914529914529
25,0,1,1,0,9,178,0,0.9518716577540107,0.0,0.0,0.0,0.9518716577540107
30,0,1,1,0,7,149,0,0.9551282051282052,0.0,0.0,0.0,0.9551282051282052
35,0,1,1,0,6,128,0,0.9552238805970149,0.0,0.0,0.0,0.9552238805970149
40,0,1,1,0,6,111,0,0.9487179487179487,0.0,0.0,0.0,0.9487179487179487
45,0,3,3,0,7,97,0,0.9326923076923077,0.0,0.0,0.0,0.9326923076923077
50,0,1,1,0,4,90,0,0.9574468085106383,0.0,0.0,0.0,0.9574468085106383
55,0,1,1,0,4,81,0,0.9529411764705882,0.0,0.0,0.0,0.9529411764705882
60,0,1,1,0,3,75,0,0.9615384615384616,0.0,0.0,0.0,0.9615384615384616
65,0,1,1,0,3,69,0,0.9583333333333334,0.0,0.0,0.0,0.9583333333333334
70,0,1,1,0,1,66,0,0.9850746268656716,0.0,0.0,0.0,0.9850746268656716
75,0,1,1,0,3,60,0,0.9523809523809523,0.0,0.0,0.0,0.9523809523809523
80,0,0,0,0,0,59,0,1.0,0.0,0.0,0.0,1.0
