Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,3,3,0,43,896,0,0.9542066027689031,0.0,0.0,0.0,0.9542066027689031
10,0,1,1,0,20,450,0,0.9574468085106383,0.0,0.0,0.0,0.9574468085106383
15,0,1,1,0,13,300,0,0.9584664536741214,0.0,0.0,0.0,0.9584664536741214
20,0,1,1,0,8,227,0,0.9659574468085106,0.0,0.0,0.0,0.9659574468085106
25,0,1,1,0,7,181,0,0.9627659574468085,0.0,0.0,0.0,0.9627659574468085
30,0,1,1,0,6,151,0,0.9617834394904459,0.0,0.0,0.0,0.9617834394904459
35,0,1,1,0,4,131,0,0.9703703703703703,0.0,0.0,0.0,0.9703703703703703
40,0,2,2,0,2,116,0,0.9830508474576272,0.0,0.0,0.0,0.9830508474576272
45,0,2,2,0,2,103,0,0.9809523809523809,0.0,0.0,0.0,0.9809523809523809
50,0,1,1,0,3,91,0,0.9680851063829787,0.0,0.0,0.0,0.9680851063829787
55,0,0,0,0,0,86,0,1.0,0.0,0.0,0.0,1.0
60,0,1,1,0,1,78,0,0.9873417721518988,0.0,0.0,0.0,0.9873417721518988
