Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,12,21,9,491,79,280,81,0.8281417830290011,0.8614035087719298,0.8583916083916084,0.8598949211908932,0.8191679490426009
10,12,20,8,243,29,151,43,0.8454935622317596,0.8933823529411765,0.8496503496503497,0.8709677419354839,0.8442696192696193
15,11,20,9,162,25,96,28,0.8295819935691319,0.8663101604278075,0.8526315789473684,0.8594164456233422,0.8230100043497173
20,11,19,8,122,18,71,22,0.8283261802575107,0.8714285714285714,0.8472222222222222,0.8591549295774648,0.8224875156054932
25,10,15,5,97,18,53,19,0.8021390374331551,0.8434782608695652,0.8362068965517241,0.8398268398268398,0.7913428848955804
30,11,17,6,77,7,55,17,0.8461538461538461,0.9166666666666666,0.8191489361702128,0.8651685393258427,0.8531228551818806
35,10,15,5,72,12,37,12,0.8195488721804511,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8061224489795917
40,10,15,5,62,10,36,9,0.8376068376068376,0.8611111111111112,0.8732394366197183,0.8671328671328671,0.8279240661359462
45,10,15,5,47,8,32,17,0.7596153846153846,0.8545454545454545,0.734375,0.7899159663865546,0.7671875
50,9,14,5,49,7,29,9,0.8297872340425532,0.875,0.8448275862068966,0.8596491228070176,0.8251915708812261
55,11,15,4,45,10,26,4,0.8352941176470589,0.8181818181818182,0.9183673469387755,0.8653846153846154,0.8202947845804989
60,10,11,1,38,6,27,7,0.8333333333333334,0.8636363636363636,0.8444444444444444,0.8539325842696629,0.8313131313131313
65,9,12,3,36,1,26,9,0.8611111111111112,0.972972972972973,0.8,0.8780487804878049,0.8814814814814815
70,10,14,4,34,3,23,7,0.8507462686567164,0.918918918918919,0.8292682926829268,0.8717948717948718,0.8569418386491556
75,9,13,4,30,1,24,8,0.8571428571428571,0.967741935483871,0.7894736842105263,0.8695652173913043,0.8747368421052631
80,10,13,3,32,3,21,3,0.8983050847457628,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.8946428571428571
85,9,13,4,27,2,19,7,0.8363636363636363,0.9310344827586207,0.7941176470588235,0.8571428571428571,0.8494397759103641
90,9,11,2,29,6,16,1,0.8653846153846154,0.8285714285714286,0.9666666666666667,0.8923076923076924,0.8469696969696969
95,8,9,1,25,5,13,6,0.7755102040816326,0.8333333333333334,0.8064516129032258,0.819672131147541,0.7643369175627239
100,9,10,1,24,7,13,3,0.7872340425531915,0.7741935483870968,0.8888888888888888,0.8275862068965517,0.7694444444444444
