Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,15,24,9,402,48,419,70,0.8743343982960596,0.8933333333333333,0.8516949152542372,0.8720173535791758,0.8744555946720864
10,15,23,8,198,20,215,37,0.8787234042553191,0.908256880733945,0.8425531914893617,0.8741721854304636,0.8787234042553191
15,14,20,6,130,16,141,26,0.865814696485623,0.8904109589041096,0.8333333333333334,0.8609271523178808,0.8657112526539279
20,15,22,7,100,14,102,19,0.8595744680851064,0.8771929824561403,0.8403361344537815,0.8583690987124464,0.8598232396406839
25,14,21,7,81,13,82,12,0.8670212765957447,0.8617021276595744,0.8709677419354839,0.8663101604278075,0.867062818336163
30,14,21,7,70,9,68,10,0.8789808917197452,0.8860759493670886,0.875,0.8805031446540881,0.8790584415584415
35,14,24,10,60,10,57,8,0.8666666666666667,0.8571428571428571,0.8823529411764706,0.8695652173913043,0.8665496049165935
40,13,19,6,47,7,52,12,0.8389830508474576,0.8703703703703703,0.7966101694915254,0.831858407079646,0.8389830508474576
45,12,18,6,45,3,48,9,0.8857142857142857,0.9375,0.8333333333333334,0.8823529411764706,0.8872549019607843
50,13,17,4,41,9,40,4,0.8617021276595744,0.82,0.9111111111111111,0.8631578947368421,0.863718820861678
55,12,16,4,43,5,37,1,0.9302325581395349,0.8958333333333334,0.9772727272727273,0.9347826086956522,0.9291125541125541
60,11,18,7,34,6,32,7,0.8354430379746836,0.85,0.8292682926829268,0.8395061728395061,0.8356867779204107
