Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,18,21,3,391,8,522,20,0.9702444208289054,0.9799498746867168,0.9513381995133819,0.9654320987654321,0.9681219299453703
10,18,22,4,190,6,260,15,0.9554140127388535,0.9693877551020408,0.926829268292683,0.9476309226932669,0.9521364386576197
15,18,19,1,121,2,178,13,0.9522292993630573,0.983739837398374,0.9029850746268657,0.9416342412451362,0.9459369817578773
20,18,23,5,91,7,126,12,0.9194915254237288,0.9285714285714286,0.883495145631068,0.9054726368159204,0.9154317833418497
25,18,19,1,75,2,104,8,0.9470899470899471,0.974025974025974,0.9036144578313253,0.9375,0.9423732666515117
30,16,20,4,53,2,89,13,0.9044585987261147,0.9636363636363636,0.803030303030303,0.8760330578512396,0.8905261405261404
35,15,20,5,51,5,73,6,0.9185185185185185,0.9107142857142857,0.8947368421052632,0.9026548672566371,0.9153171390013495
40,15,20,5,44,5,61,8,0.8898305084745762,0.8979591836734694,0.8461538461538461,0.8712871287128713,0.8851981351981352
45,16,17,1,37,0,61,7,0.9333333333333333,1.0,0.8409090909090909,0.9135802469135802,0.9204545454545454
50,15,16,1,39,0,51,5,0.9473684210526315,1.0,0.8863636363636364,0.9397590361445783,0.9431818181818181
