Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,7,7,0,37,902,0,0.9605963791267306,0.0,0.0,0.0,0.9605963791267306
10,0,1,1,0,12,458,0,0.9744680851063829,0.0,0.0,0.0,0.9744680851063829
15,0,1,1,0,8,305,0,0.9744408945686901,0.0,0.0,0.0,0.9744408945686901
20,0,10,10,0,17,218,0,0.9276595744680851,0.0,0.0,0.0,0.9276595744680851
25,0,7,7,0,13,175,0,0.9308510638297872,0.0,0.0,0.0,0.9308510638297872
30,0,4,4,0,7,150,0,0.9554140127388535,0.0,0.0,0.0,0.9554140127388535
35,0,8,8,0,16,119,0,0.8814814814814815,0.0,0.0,0.0,0.8814814814814815
40,0,2,2,0,3,115,0,0.9745762711864406,0.0,0.0,0.0,0.9745762711864406
45,0,3,3,0,4,101,0,0.9619047619047619,0.0,0.0,0.0,0.9619047619047619
50,0,7,7,0,10,84,0,0.8936170212765957,0.0,0.0,0.0,0.8936170212765957
55,0,3,3,0,5,81,0,0.9418604651162791,0.0,0.0,0.0,0.9418604651162791
60,0,2,2,0,3,76,0,0.9620253164556962,0.0,0.0,0.0,0.9620253164556962
