Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,40,40,0,342,589,0,0.6326530612244898,0.0,0.0,0.0,0.6326530612244898
10,0,11,11,0,100,366,0,0.7854077253218884,0.0,0.0,0.0,0.7854077253218884
15,0,14,14,0,64,247,0,0.7942122186495176,0.0,0.0,0.0,0.7942122186495176
20,0,12,12,0,62,171,0,0.7339055793991416,0.0,0.0,0.0,0.7339055793991416
25,0,7,7,0,36,151,0,0.8074866310160428,0.0,0.0,0.0,0.8074866310160428
30,0,13,13,0,47,109,0,0.6987179487179487,0.0,0.0,0.0,0.6987179487179487
35,0,10,10,0,24,109,0,0.8195488721804511,0.0,0.0,0.0,0.8195488721804511
40,0,10,10,0,32,85,0,0.7264957264957265,0.0,0.0,0.0,0.7264957264957265
45,0,4,4,0,19,85,0,0.8173076923076923,0.0,0.0,0.0,0.8173076923076923
50,0,10,10,0,32,62,0,0.6595744680851063,0.0,0.0,0.0,0.6595744680851063
55,0,6,6,0,22,63,0,0.7411764705882353,0.0,0.0,0.0,0.7411764705882353
60,0,10,10,0,25,53,0,0.6794871794871795,0.0,0.0,0.0,0.6794871794871795
65,0,4,4,0,9,63,0,0.875,0.0,0.0,0.0,0.875
70,0,5,5,0,8,59,0,0.8805970149253731,0.0,0.0,0.0,0.8805970149253731
75,0,6,6,0,13,50,0,0.7936507936507936,0.0,0.0,0.0,0.7936507936507936
80,0,6,6,0,27,32,0,0.5423728813559322,0.0,0.0,0.0,0.5423728813559322
85,0,5,5,0,14,41,0,0.7454545454545455,0.0,0.0,0.0,0.7454545454545455
90,0,4,4,0,8,44,0,0.8461538461538461,0.0,0.0,0.0,0.8461538461538461
95,0,8,8,0,18,31,0,0.6326530612244898,0.0,0.0,0.0,0.6326530612244898
100,0,6,6,0,13,34,0,0.723404255319149,0.0,0.0,0.0,0.723404255319149
