Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,14,33,19,459,55,364,59,0.8783351120597652,0.8929961089494164,0.8861003861003861,0.8895348837209303,0.8774177348163028
10,14,23,9,238,27,185,19,0.9019189765458422,0.8981132075471698,0.9260700389105059,0.9118773946360154,0.899355774172234
15,13,22,9,153,20,123,17,0.8817891373801917,0.884393063583815,0.9,0.892128279883382,0.8800699300699301
20,13,20,7,114,18,88,15,0.8595744680851064,0.8636363636363636,0.8837209302325582,0.8735632183908046,0.8569548047389206
25,12,18,6,89,11,74,14,0.8670212765957447,0.89,0.8640776699029126,0.8768472906403941,0.8673329525985152
30,11,17,6,78,11,61,7,0.8853503184713376,0.8764044943820225,0.9176470588235294,0.896551724137931,0.8824346405228758
35,9,15,6,64,9,51,10,0.8582089552238806,0.8767123287671232,0.8648648648648649,0.8707482993197279,0.8574324324324325
40,12,15,3,56,8,44,10,0.847457627118644,0.875,0.8484848484848485,0.8615384615384616,0.8473193473193473
45,12,15,3,48,9,42,6,0.8571428571428571,0.8421052631578947,0.8888888888888888,0.8648648648648649,0.8562091503267973
50,10,15,5,42,6,38,8,0.851063829787234,0.875,0.84,0.8571428571428571,0.8518181818181818
55,10,14,4,39,3,36,8,0.872093023255814,0.9285714285714286,0.8297872340425532,0.8764044943820225,0.8764320785597381
60,9,12,3,36,7,28,8,0.810126582278481,0.8372093023255814,0.8181818181818182,0.8275862068965517,0.8090909090909091
65,9,12,3,32,3,30,8,0.8493150684931506,0.9142857142857143,0.8,0.8533333333333334,0.8545454545454545
70,8,11,3,31,4,26,6,0.8507462686567164,0.8857142857142857,0.8378378378378378,0.8611111111111112,0.8522522522522522
