Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,5,5,0,95,838,0,0.8981779206859593,0.0,0.0,0.0,0.8981779206859593
10,0,4,4,0,49,418,0,0.8950749464668094,0.0,0.0,0.0,0.8950749464668094
15,0,5,5,0,31,280,0,0.9003215434083601,0.0,0.0,0.0,0.9003215434083601
20,0,6,6,0,28,206,0,0.8803418803418803,0.0,0.0,0.0,0.8803418803418803
25,0,5,5,0,13,174,0,0.93048128342246,0.0,0.0,0.0,0.93048128342246
30,0,3,3,0,15,141,0,0.9038461538461539,0.0,0.0,0.0,0.9038461538461539
35,0,3,3,0,18,116,0,0.8656716417910447,0.0,0.0,0.0,0.8656716417910447
40,0,4,4,0,19,98,0,0.8376068376068376,0.0,0.0,0.0,0.8376068376068376
45,0,6,6,0,17,87,0,0.8365384615384616,0.0,0.0,0.0,0.8365384615384616
50,0,5,5,0,12,82,0,0.8723404255319149,0.0,0.0,0.0,0.8723404255319149
55,0,4,4,0,16,69,0,0.8117647058823529,0.0,0.0,0.0,0.8117647058823529
60,0,4,4,0,11,67,0,0.8589743589743589,0.0,0.0,0.0,0.8589743589743589
65,0,4,4,0,11,61,0,0.8472222222222222,0.0,0.0,0.0,0.8472222222222222
70,0,2,2,0,10,57,0,0.8507462686567164,0.0,0.0,0.0,0.8507462686567164
75,0,4,4,0,8,55,0,0.873015873015873,0.0,0.0,0.0,0.873015873015873
80,0,6,6,0,16,43,0,0.7288135593220338,0.0,0.0,0.0,0.7288135593220338
85,0,3,3,0,10,45,0,0.8181818181818182,0.0,0.0,0.0,0.8181818181818182
90,0,5,5,0,12,40,0,0.7692307692307693,0.0,0.0,0.0,0.7692307692307693
