teste,modelo,falha,janela,passo_cfg,passo_real,amostras_treino,amostras_teste,positivos_treino,negativos_treino,positivos_teste,negativos_teste,eventos_reais_teste,eventos_detectados,diferenca_eventos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,specificity,tn,fp,fn,tp,path_cm,path_eventos,variavel,rodada,cenario
sem_erro,catboost,lacuna,20,5,5,947,947,217,730,0,947,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999989441,947,0,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_catboost_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_catboost_lacuna_jan20_passo5_eventos.png,"MP2,5_1",1,sem_erro
sem_erro,catboost,oscilacao,40,40,40,118,118,57,61,0,118,0,9,9,0.8898305084745762,0.8898305084745762,0.0,0.0,0.0,0.8898305084670353,105,13,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_catboost_oscilacao_jan40_passo40_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_catboost_oscilacao_jan40_passo40_eventos.png,"MP2,5_1",1,sem_erro
sem_erro,catboost,queda,90,60,60,78,78,37,41,0,78,0,3,3,0.8846153846153846,0.8846153846153846,0.0,0.0,0.0,0.8846153846040433,69,9,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_catboost_queda_jan90_passo60_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_catboost_queda_jan90_passo60_eventos.png,"MP2,5_1",1,sem_erro
sem_erro,mlp,lacuna,30,5,5,945,945,245,700,0,945,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999989418,945,0,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_mlp_lacuna_jan30_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_mlp_lacuna_jan30_passo5_eventos.png,"MP2,5_1",1,sem_erro
sem_erro,mlp,oscilacao,100,90,90,52,52,32,20,0,52,0,4,4,0.7692307692307693,0.7692307692307693,0.0,0.0,0.0,0.7692307692159763,40,12,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_mlp_oscilacao_jan100_passo90_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_mlp_oscilacao_jan100_passo90_eventos.png,"MP2,5_1",1,sem_erro
sem_erro,mlp,queda,100,95,95,49,49,29,20,0,49,0,3,3,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,0.8571428571253645,42,7,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_mlp_queda_jan100_passo95_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_mlp_queda_jan100_passo95_eventos.png,"MP2,5_1",1,sem_erro
sem_erro,random_forest,lacuna,20,5,5,947,947,217,730,0,947,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999989441,947,0,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_random_forest_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_random_forest_lacuna_jan20_passo5_eventos.png,"MP2,5_1",1,sem_erro
sem_erro,random_forest,oscilacao,30,20,20,237,237,107,130,0,237,0,9,9,0.9113924050632911,0.9113924050632911,0.0,0.0,0.0,0.9113924050594456,216,21,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_random_forest_oscilacao_jan30_passo20_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_random_forest_oscilacao_jan30_passo20_eventos.png,"MP2,5_1",1,sem_erro
sem_erro,random_forest,queda,100,100,100,47,47,26,21,0,47,0,5,5,0.8297872340425532,0.8297872340425532,0.0,0.0,0.0,0.8297872340248982,39,8,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_random_forest_queda_jan100_passo100_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_random_forest_queda_jan100_passo100_eventos.png,"MP2,5_1",1,sem_erro
sem_erro,xgboost,lacuna,20,5,5,947,947,217,730,0,947,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999989441,947,0,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_xgboost_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_xgboost_lacuna_jan20_passo5_eventos.png,"MP2,5_1",1,sem_erro
sem_erro,xgboost,oscilacao,30,20,20,237,237,107,130,0,237,0,10,10,0.9113924050632911,0.9113924050632911,0.0,0.0,0.0,0.9113924050594456,216,21,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_xgboost_oscilacao_jan30_passo20_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_xgboost_oscilacao_jan30_passo20_eventos.png,"MP2,5_1",1,sem_erro
sem_erro,xgboost,queda,90,60,60,78,78,37,41,0,78,0,4,4,0.8461538461538461,0.8461538461538461,0.0,0.0,0.0,0.8461538461429979,66,12,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_xgboost_queda_jan90_passo60_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_xgboost_queda_jan90_passo60_eventos.png,"MP2,5_1",1,sem_erro
com_erro,catboost,lacuna,20,5,5,947,947,215,732,309,638,24,24,0,1.0,1.0,1.0,1.0,1.0,0.9999999999984326,638,0,0,309,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_1\com_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_com_erro_catboost_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_1\com_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_com_erro_catboost_lacuna_jan20_passo5_eventos.png,"MP2,5_1",1,com_erro
com_erro,catboost,oscilacao,90,65,65,72,72,48,24,44,28,11,11,0,0.9166666666666666,0.9123376623376623,0.9318181818181818,0.9318181818181818,0.9318181818181818,0.8928571428252551,25,3,3,41,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_1\com_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_com_erro_catboost_oscilacao_jan90_passo65_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_1\com_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_com_erro_catboost_oscilacao_jan90_passo65_eventos.png,"MP2,5_1",1,com_erro
com_erro,catboost,queda,100,70,70,67,67,36,31,38,29,11,11,0,0.8955223880597015,0.8915607985480943,0.8974358974358975,0.9210526315789473,0.9090909090909091,0.8620689654875149,25,4,3,35,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_1\com_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_com_erro_catboost_queda_jan100_passo70_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_1\com_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_com_erro_catboost_queda_jan100_passo70_eventos.png,"MP2,5_1",1,com_erro
com_erro,mlp,lacuna,100,10,10,466,466,205,261,298,168,13,13,0,0.9785407725321889,0.9832214765100671,1.0,0.9664429530201343,0.9829351535836177,0.9999999999940477,168,0,10,288,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_1\com_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_com_erro_mlp_lacuna_jan100_passo10_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_1\com_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_com_erro_mlp_lacuna_jan100_passo10_eventos.png,"MP2,5_1",1,com_erro
