Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,13,27,14,471,62,348,50,0.8796992481203008,0.8836772983114447,0.9040307101727447,0.8937381404174574,0.8764055989888113
10,13,20,7,232,34,170,30,0.8626609442060086,0.8721804511278195,0.8854961832061069,0.8787878787878788,0.8594147582697201
15,13,23,10,149,23,113,26,0.842443729903537,0.8662790697674418,0.8514285714285714,0.8587896253602305,0.841155462184874
20,12,20,8,118,13,88,14,0.8841201716738197,0.9007633587786259,0.8939393939393939,0.8973384030418251,0.8826132613261326
25,13,17,4,89,6,77,15,0.8877005347593583,0.9368421052631579,0.8557692307692307,0.8944723618090452,0.8917400370713624
30,13,18,5,73,9,59,15,0.8461538461538461,0.8902439024390244,0.8295454545454546,0.8588235294117647,0.848596256684492
35,12,15,3,68,11,46,8,0.8571428571428571,0.8607594936708861,0.8947368421052632,0.8774193548387097,0.8508771929824561
40,12,15,3,51,3,49,14,0.8547008547008547,0.9444444444444444,0.7846153846153846,0.8571428571428571,0.8634615384615385
45,11,17,6,50,6,38,10,0.8461538461538461,0.8928571428571429,0.8333333333333334,0.8620689655172413,0.8484848484848485
50,13,12,-1,43,0,40,11,0.8829787234042553,1.0,0.7962962962962963,0.8865979381443299,0.8981481481481481
55,11,15,4,40,6,31,8,0.8352941176470589,0.8695652173913043,0.8333333333333334,0.851063829787234,0.8355855855855856
60,11,13,2,35,6,29,8,0.8205128205128205,0.8536585365853658,0.813953488372093,0.8333333333333334,0.8212624584717608
65,12,10,-2,35,7,26,4,0.8472222222222222,0.8333333333333334,0.8974358974358975,0.8641975308641975,0.8426573426573427
70,11,11,0,35,4,25,3,0.8955223880597015,0.8974358974358975,0.9210526315789473,0.9090909090909091,0.8915607985480943
75,12,13,1,30,1,28,4,0.9206349206349206,0.967741935483871,0.8823529411764706,0.9230769230769231,0.9239350912778905
80,12,14,2,28,6,19,6,0.7966101694915254,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.7917647058823529
85,12,11,-1,30,6,17,2,0.8545454545454545,0.8333333333333334,0.9375,0.8823529411764706,0.8383152173913043
90,11,10,-1,27,5,17,3,0.8461538461538461,0.84375,0.9,0.8709677419354839,0.8363636363636364
95,11,10,-1,26,4,17,2,0.8775510204081632,0.8666666666666667,0.9285714285714286,0.896551724137931,0.8690476190476191
100,11,13,2,17,0,20,10,0.7872340425531915,1.0,0.6296296296296297,0.7727272727272727,0.8148148148148149
