Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,19,53,34,295,36,523,87,0.869287991498406,0.8912386706948641,0.7722513089005235,0.8274894810659187,0.8539252966685087
10,19,43,24,151,20,259,41,0.8704883227176221,0.8830409356725146,0.7864583333333334,0.8319559228650137,0.8573868727598566
15,18,31,13,97,12,177,28,0.8726114649681529,0.8899082568807339,0.776,0.8290598290598291,0.8562539682539683
20,19,28,9,69,7,133,27,0.8559322033898306,0.9078947368421053,0.71875,0.8023255813953488,0.834375
25,19,26,7,51,5,109,24,0.8465608465608465,0.9107142857142857,0.68,0.7786259541984732,0.8180701754385965
30,16,23,7,47,6,87,17,0.8535031847133758,0.8867924528301887,0.734375,0.8034188034188035,0.834929435483871
35,17,23,6,38,3,79,15,0.8666666666666667,0.926829268292683,0.7169811320754716,0.8085106382978723,0.8401978831109065
40,14,20,6,34,6,63,15,0.8220338983050848,0.85,0.6938775510204082,0.7640449438202247,0.8034605146406388
45,16,16,0,34,1,61,9,0.9047619047619048,0.9714285714285714,0.7906976744186046,0.8717948717948718,0.8872843210802701
50,17,15,-2,24,2,54,15,0.8210526315789474,0.9230769230769231,0.6153846153846154,0.7384615384615385,0.7898351648351649
