Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,55,55,0,234,701,0,0.7497326203208556,0.0,0.0,0.0,0.7497326203208556
10,0,35,35,0,146,322,0,0.688034188034188,0.0,0.0,0.0,0.688034188034188
15,0,30,30,0,96,216,0,0.6923076923076923,0.0,0.0,0.0,0.6923076923076923
20,0,21,21,0,76,158,0,0.6752136752136753,0.0,0.0,0.0,0.6752136752136753
25,0,19,19,0,51,136,0,0.7272727272727273,0.0,0.0,0.0,0.7272727272727273
30,0,20,20,0,45,111,0,0.7115384615384616,0.0,0.0,0.0,0.7115384615384616
35,0,14,14,0,26,108,0,0.8059701492537313,0.0,0.0,0.0,0.8059701492537313
40,0,14,14,0,35,82,0,0.7008547008547008,0.0,0.0,0.0,0.7008547008547008
45,0,9,9,0,24,80,0,0.7692307692307693,0.0,0.0,0.0,0.7692307692307693
50,0,17,17,0,36,58,0,0.6170212765957447,0.0,0.0,0.0,0.6170212765957447
55,0,15,15,0,26,59,0,0.6941176470588235,0.0,0.0,0.0,0.6941176470588235
60,0,11,11,0,19,59,0,0.7564102564102564,0.0,0.0,0.0,0.7564102564102564
65,0,9,9,0,15,57,0,0.7916666666666666,0.0,0.0,0.0,0.7916666666666666
70,0,14,14,0,17,50,0,0.746268656716418,0.0,0.0,0.0,0.746268656716418
75,0,6,6,0,12,51,0,0.8095238095238095,0.0,0.0,0.0,0.8095238095238095
80,0,7,7,0,10,49,0,0.8305084745762712,0.0,0.0,0.0,0.8305084745762712
