Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,21,21,0,109,832,0,0.8841657810839533,0.0,0.0,0.0,0.8841657810839533
10,0,18,18,0,71,400,0,0.8492569002123143,0.0,0.0,0.0,0.8492569002123143
15,0,12,12,0,41,273,0,0.8694267515923567,0.0,0.0,0.0,0.8694267515923567
20,0,21,21,0,47,189,0,0.8008474576271186,0.0,0.0,0.0,0.8008474576271186
25,0,15,15,0,30,159,0,0.8412698412698413,0.0,0.0,0.0,0.8412698412698413
30,0,12,12,0,22,135,0,0.8598726114649682,0.0,0.0,0.0,0.8598726114649682
35,0,12,12,0,26,109,0,0.8074074074074075,0.0,0.0,0.0,0.8074074074074075
40,0,15,15,0,27,91,0,0.7711864406779662,0.0,0.0,0.0,0.7711864406779662
45,0,12,12,0,19,86,0,0.819047619047619,0.0,0.0,0.0,0.819047619047619
50,0,13,13,0,21,74,0,0.7789473684210526,0.0,0.0,0.0,0.7789473684210526
