evento_id,falha,inicio,fim,duracao_pts
oscilacao_001,oscilacao,2023-10-11 06:40:00,2023-10-11 16:30:00,60.0
oscilacao_002,oscilacao,2023-10-18 07:10:00,2023-10-18 18:40:00,70.0
oscilacao_003,oscilacao,2023-10-18 18:50:00,2023-10-19 02:50:00,49.0
oscilacao_004,oscilacao,2023-10-19 03:00:00,2023-10-19 09:30:00,40.0
oscilacao_005,oscilacao,2023-10-15 19:40:00,2023-10-16 03:40:00,49.0
oscilacao_006,oscilacao,2023-11-07 18:00:00,2023-11-08 01:40:00,47.0
oscilacao_007,oscilacao,2023-10-25 03:00:00,2023-10-25 12:00:00,55.0
oscilacao_008,oscilacao,2023-10-11 21:30:00,2023-10-12 08:30:00,67.0
oscilacao_009,oscilacao,2023-10-19 10:10:00,2023-10-19 21:00:00,66.0
oscilacao_010,oscilacao,2023-10-17 19:10:00,2023-10-18 05:20:00,62.0
oscilacao_011,oscilacao,2023-10-15 04:30:00,2023-10-15 14:30:00,61.0
oscilacao_012,oscilacao,2023-11-02 13:40:00,2023-11-02 22:50:00,56.0
oscilacao_013,oscilacao,2023-11-06 18:00:00,2023-11-07 05:20:00,69.0
oscilacao_014,oscilacao,2023-10-09 17:30:00,2023-10-10 01:20:00,48.0
oscilacao_015,oscilacao,2023-10-19 21:10:00,2023-10-20 03:20:00,38.0
oscilacao_016,oscilacao,2023-11-06 08:40:00,2023-11-06 17:50:00,56.0
oscilacao_017,oscilacao,2023-10-26 23:40:00,2023-10-27 05:40:00,37.0
oscilacao_018,oscilacao,2023-10-23 09:00:00,2023-10-23 19:30:00,64.0
oscilacao_019,oscilacao,2023-11-07 11:30:00,2023-11-07 17:50:00,39.0
oscilacao_020,oscilacao,2023-10-30 13:10:00,2023-10-30 19:40:00,40.0
oscilacao_021,oscilacao,2023-10-27 11:00:00,2023-10-27 18:50:00,48.0
oscilacao_022,oscilacao,2023-11-04 21:50:00,2023-11-05 09:40:00,72.0
oscilacao_023,oscilacao,2023-10-30 19:50:00,2023-10-31 02:00:00,38.0
oscilacao_024,oscilacao,2023-10-08 21:30:00,2023-10-09 05:00:00,46.0
oscilacao_025,oscilacao,2023-10-29 12:10:00,2023-10-29 20:40:00,52.0
oscilacao_026,oscilacao,2023-10-14 09:10:00,2023-10-14 19:20:00,62.0
oscilacao_027,oscilacao,2023-11-01 23:30:00,2023-11-02 05:50:00,39.0
lacuna_001,lacuna,2023-10-21 15:50:00,2023-10-21 22:40:00,42.0
lacuna_002,lacuna,2023-10-30 06:40:00,2023-10-30 13:00:00,39.0
lacuna_003,lacuna,2023-10-17 12:20:00,2023-10-17 16:10:00,24.0
lacuna_004,lacuna,2023-11-01 19:10:00,2023-11-01 23:20:00,26.0
lacuna_005,lacuna,2023-11-02 08:00:00,2023-11-02 13:00:00,31.0
lacuna_006,lacuna,2023-10-16 11:30:00,2023-10-16 17:00:00,34.0
lacuna_007,lacuna,2023-10-31 02:10:00,2023-10-31 08:40:00,40.0
lacuna_008,lacuna,2023-11-08 06:30:00,2023-11-08 11:30:00,31.0
lacuna_009,lacuna,2023-10-09 13:00:00,2023-10-09 17:20:00,27.0
lacuna_010,lacuna,2023-11-04 14:30:00,2023-11-04 21:40:00,44.0
lacuna_011,lacuna,2023-10-14 04:50:00,2023-10-14 09:00:00,26.0
lacuna_012,lacuna,2023-10-20 17:40:00,2023-10-20 22:20:00,29.0
lacuna_013,lacuna,2023-11-06 03:00:00,2023-11-06 08:30:00,34.0
lacuna_014,lacuna,2023-10-21 09:10:00,2023-10-21 15:40:00,40.0
lacuna_015,lacuna,2023-10-16 03:50:00,2023-10-16 11:20:00,46.0
lacuna_016,lacuna,2023-10-11 16:40:00,2023-10-11 21:20:00,29.0
lacuna_017,lacuna,2023-10-14 19:30:00,2023-10-15 00:10:00,29.0
lacuna_018,lacuna,2023-10-16 17:10:00,2023-10-16 23:40:00,40.0
lacuna_019,lacuna,2023-11-05 19:00:00,2023-11-06 02:50:00,48.0
lacuna_020,lacuna,2023-10-10 01:30:00,2023-10-10 08:40:00,44.0
lacuna_021,lacuna,2023-10-28 06:20:00,2023-10-28 12:40:00,39.0
lacuna_022,lacuna,2023-10-08 14:50:00,2023-10-08 19:00:00,26.0
lacuna_023,lacuna,2023-10-31 21:20:00,2023-11-01 02:50:00,34.0
lacuna_024,lacuna,2023-11-01 03:00:00,2023-11-01 10:10:00,44.0
queda_001,queda,2023-10-30 00:40:00,2023-10-30 04:10:00,22.0
queda_002,queda,2023-10-26 18:00:00,2023-10-26 23:30:00,34.0
queda_003,queda,2023-10-22 13:40:00,2023-10-22 17:30:00,24.0
queda_004,queda,2023-10-24 22:30:00,2023-10-25 02:50:00,27.0
queda_005,queda,2023-10-17 08:00:00,2023-10-17 12:10:00,26.0
queda_006,queda,2023-10-26 13:20:00,2023-10-26 17:50:00,28.0
queda_007,queda,2023-11-03 05:40:00,2023-11-03 08:50:00,20.0
queda_008,queda,2023-10-10 22:40:00,2023-10-11 02:20:00,23.0
queda_009,queda,2023-10-28 12:50:00,2023-10-28 17:30:00,29.0
queda_010,queda,2023-10-31 08:50:00,2023-10-31 13:30:00,29.0
queda_011,queda,2023-11-02 23:00:00,2023-11-03 04:10:00,32.0
queda_012,queda,2023-11-05 13:10:00,2023-11-05 18:50:00,35.0
queda_013,queda,2023-10-15 14:40:00,2023-10-15 18:00:00,21.0
queda_014,queda,2023-10-24 17:00:00,2023-10-24 22:20:00,33.0
queda_015,queda,2023-10-17 03:20:00,2023-10-17 07:30:00,26.0
queda_016,queda,2023-10-13 17:40:00,2023-10-13 21:20:00,23.0
queda_017,queda,2023-11-04 01:20:00,2023-11-04 04:50:00,22.0
queda_018,queda,2023-10-20 10:00:00,2023-10-20 15:40:00,35.0
queda_019,queda,2023-10-25 19:10:00,2023-10-25 23:10:00,25.0
queda_020,queda,2023-10-12 08:40:00,2023-10-12 12:30:00,24.0
queda_021,queda,2023-10-31 13:40:00,2023-10-31 17:20:00,23.0
queda_022,queda,2023-10-20 22:30:00,2023-10-21 02:30:00,25.0
queda_023,queda,2023-11-01 10:20:00,2023-11-01 14:30:00,26.0
queda_024,queda,2023-10-07 16:50:00,2023-10-07 21:30:00,29.0
queda_025,queda,2023-11-04 10:20:00,2023-11-04 13:40:00,21.0
queda_026,queda,2023-11-03 20:50:00,2023-11-04 01:10:00,27.0
queda_027,queda,2023-10-23 04:50:00,2023-10-23 08:50:00,25.0
queda_028,queda,2023-10-10 08:50:00,2023-10-10 13:30:00,29.0
oscilacao_final,oscilacao,,,
lacuna_final,lacuna,,,
queda_final,queda,,,
