evento_id,falha,inicio,fim,duracao_pts
oscilacao_001,oscilacao,2023-11-02 15:00:00,2023-11-03 02:40:00,71.0
oscilacao_002,oscilacao,2023-10-08 03:50:00,2023-10-08 10:00:00,38.0
oscilacao_003,oscilacao,2023-11-03 13:00:00,2023-11-03 21:50:00,54.0
oscilacao_004,oscilacao,2023-10-29 01:20:00,2023-10-29 13:00:00,71.0
oscilacao_005,oscilacao,2023-11-03 22:00:00,2023-11-04 09:00:00,67.0
oscilacao_006,oscilacao,2023-11-03 02:50:00,2023-11-03 10:20:00,46.0
oscilacao_007,oscilacao,2023-10-23 14:20:00,2023-10-24 01:30:00,68.0
oscilacao_008,oscilacao,2023-10-27 21:40:00,2023-10-28 08:10:00,64.0
oscilacao_009,oscilacao,2023-10-26 11:20:00,2023-10-26 21:10:00,60.0
oscilacao_010,oscilacao,2023-10-26 21:20:00,2023-10-27 07:30:00,62.0
oscilacao_011,oscilacao,2023-11-07 17:10:00,2023-11-08 04:10:00,67.0
oscilacao_012,oscilacao,2023-10-07 12:50:00,2023-10-07 18:50:00,37.0
oscilacao_013,oscilacao,2023-10-13 06:50:00,2023-10-13 17:20:00,64.0
oscilacao_014,oscilacao,2023-10-10 08:30:00,2023-10-10 16:10:00,47.0
oscilacao_015,oscilacao,2023-10-25 11:30:00,2023-10-25 19:10:00,47.0
oscilacao_016,oscilacao,2023-10-30 02:40:00,2023-10-30 11:00:00,51.0
oscilacao_017,oscilacao,2023-10-18 14:00:00,2023-10-18 23:00:00,55.0
oscilacao_018,oscilacao,2023-10-13 17:30:00,2023-10-13 23:20:00,36.0
oscilacao_019,oscilacao,2023-11-04 10:00:00,2023-11-04 17:50:00,48.0
oscilacao_020,oscilacao,2023-10-28 14:30:00,2023-10-29 00:30:00,61.0
oscilacao_021,oscilacao,2023-10-17 02:40:00,2023-10-17 13:50:00,68.0
oscilacao_022,oscilacao,2023-10-29 13:10:00,2023-10-29 19:50:00,41.0
oscilacao_023,oscilacao,2023-10-21 06:10:00,2023-10-21 15:00:00,54.0
oscilacao_024,oscilacao,2023-10-07 19:00:00,2023-10-08 01:10:00,38.0
oscilacao_025,oscilacao,2023-10-25 20:20:00,2023-10-26 04:20:00,49.0
oscilacao_026,oscilacao,2023-11-02 04:50:00,2023-11-02 14:50:00,61.0
oscilacao_027,oscilacao,2023-11-04 18:00:00,2023-11-05 02:30:00,52.0
oscilacao_028,oscilacao,2023-10-24 18:50:00,2023-10-25 05:20:00,64.0
lacuna_001,lacuna,2023-11-07 11:40:00,2023-11-07 17:00:00,33.0
lacuna_002,lacuna,2023-11-06 08:50:00,2023-11-06 15:40:00,42.0
lacuna_003,lacuna,2023-10-15 14:10:00,2023-10-15 19:20:00,32.0
lacuna_004,lacuna,2023-10-30 12:20:00,2023-10-30 18:00:00,35.0
lacuna_005,lacuna,2023-10-12 23:40:00,2023-10-13 03:50:00,26.0
lacuna_006,lacuna,2023-10-18 09:00:00,2023-10-18 13:50:00,30.0
lacuna_007,lacuna,2023-10-16 19:40:00,2023-10-17 02:30:00,42.0
lacuna_008,lacuna,2023-10-31 17:20:00,2023-10-31 23:30:00,38.0
lacuna_009,lacuna,2023-10-26 06:00:00,2023-10-26 11:10:00,32.0
lacuna_010,lacuna,2023-10-31 09:40:00,2023-10-31 15:50:00,38.0
lacuna_011,lacuna,2023-10-20 13:30:00,2023-10-20 20:50:00,45.0
lacuna_012,lacuna,2023-10-20 23:20:00,2023-10-21 06:00:00,41.0
lacuna_013,lacuna,2023-11-07 03:40:00,2023-11-07 11:30:00,48.0
lacuna_014,lacuna,2023-10-22 00:10:00,2023-10-22 06:10:00,37.0
lacuna_015,lacuna,2023-10-12 11:10:00,2023-10-12 15:00:00,24.0
lacuna_016,lacuna,2023-10-15 22:40:00,2023-10-16 05:00:00,39.0
lacuna_017,lacuna,2023-11-01 22:30:00,2023-11-02 04:40:00,38.0
lacuna_018,lacuna,2023-10-10 00:50:00,2023-10-10 06:50:00,37.0
lacuna_019,lacuna,2023-10-28 08:20:00,2023-10-28 12:50:00,28.0
lacuna_020,lacuna,2023-10-24 14:30:00,2023-10-24 18:20:00,24.0
lacuna_021,lacuna,2023-10-13 23:30:00,2023-10-14 05:50:00,39.0
lacuna_022,lacuna,2023-10-12 16:20:00,2023-10-12 20:40:00,27.0
lacuna_023,lacuna,2023-11-06 15:50:00,2023-11-06 23:00:00,44.0
lacuna_024,lacuna,2023-11-05 22:10:00,2023-11-06 03:30:00,33.0
lacuna_025,lacuna,2023-10-15 07:00:00,2023-10-15 13:10:00,38.0
lacuna_026,lacuna,2023-10-09 17:40:00,2023-10-10 00:40:00,43.0
lacuna_027,lacuna,2023-10-15 01:10:00,2023-10-15 05:00:00,24.0
lacuna_028,lacuna,2023-10-16 12:10:00,2023-10-16 19:30:00,45.0
queda_001,queda,2023-10-08 15:30:00,2023-10-08 19:20:00,24.0
queda_002,queda,2023-10-19 04:20:00,2023-10-19 08:50:00,28.0
queda_003,queda,2023-10-18 03:40:00,2023-10-18 08:50:00,32.0
queda_004,queda,2023-11-01 02:20:00,2023-11-01 06:00:00,23.0
queda_005,queda,2023-11-05 19:00:00,2023-11-05 22:00:00,19.0
queda_006,queda,2023-11-06 23:10:00,2023-11-07 03:00:00,24.0
queda_007,queda,2023-10-20 04:40:00,2023-10-20 10:30:00,36.0
queda_008,queda,2023-10-27 12:00:00,2023-10-27 17:10:00,32.0
queda_009,queda,2023-10-12 06:40:00,2023-10-12 11:00:00,27.0
queda_010,queda,2023-10-12 03:40:00,2023-10-12 06:30:00,18.0
queda_011,queda,2023-10-25 06:30:00,2023-10-25 11:20:00,30.0
queda_012,queda,2023-10-17 21:50:00,2023-10-18 03:20:00,34.0
queda_013,queda,2023-10-21 19:30:00,2023-10-21 23:30:00,25.0
queda_014,queda,2023-10-23 09:50:00,2023-10-23 14:10:00,27.0
queda_015,queda,2023-11-06 03:40:00,2023-11-06 08:30:00,30.0
queda_016,queda,2023-10-12 00:00:00,2023-10-12 03:30:00,22.0
queda_017,queda,2023-10-22 06:20:00,2023-10-22 11:40:00,33.0
queda_018,queda,2023-10-23 05:50:00,2023-10-23 09:40:00,24.0
queda_019,queda,2023-10-23 01:10:00,2023-10-23 05:40:00,28.0
queda_020,queda,2023-10-11 03:30:00,2023-10-11 06:20:00,18.0
queda_021,queda,2023-10-19 09:00:00,2023-10-19 13:10:00,26.0
queda_022,queda,2023-10-21 16:30:00,2023-10-21 19:20:00,18.0
queda_023,queda,2023-10-08 23:10:00,2023-10-09 03:30:00,27.0
queda_024,queda,2023-10-19 17:00:00,2023-10-19 21:00:00,25.0
queda_025,queda,2023-10-24 01:40:00,2023-10-24 05:30:00,24.0
oscilacao_final,oscilacao,,,
lacuna_final,lacuna,,,
queda_final,queda,,,
