evento_id,falha,inicio,fim,duracao_pts
oscilacao_001,oscilacao,2023-11-03 14:10:00,2023-11-04 02:00:00,72.0
oscilacao_002,oscilacao,2023-10-09 14:10:00,2023-10-09 22:10:00,49.0
oscilacao_003,oscilacao,2023-10-13 17:30:00,2023-10-14 00:30:00,43.0
oscilacao_004,oscilacao,2023-10-28 04:20:00,2023-10-28 15:00:00,65.0
oscilacao_005,oscilacao,2023-11-04 15:10:00,2023-11-04 23:00:00,48.0
oscilacao_006,oscilacao,2023-10-21 18:30:00,2023-10-22 02:00:00,46.0
oscilacao_007,oscilacao,2023-11-01 04:20:00,2023-11-01 10:20:00,37.0
oscilacao_008,oscilacao,2023-10-18 17:40:00,2023-10-19 04:50:00,68.0
oscilacao_009,oscilacao,2023-10-27 02:00:00,2023-10-27 11:40:00,59.0
oscilacao_010,oscilacao,2023-10-16 13:00:00,2023-10-17 00:40:00,71.0
oscilacao_011,oscilacao,2023-10-22 10:20:00,2023-10-22 16:10:00,36.0
oscilacao_012,oscilacao,2023-10-21 07:30:00,2023-10-21 18:20:00,66.0
oscilacao_013,oscilacao,2023-11-03 00:00:00,2023-11-03 06:20:00,39.0
oscilacao_014,oscilacao,2023-10-25 07:10:00,2023-10-25 13:30:00,39.0
oscilacao_015,oscilacao,2023-10-09 22:20:00,2023-10-10 06:40:00,51.0
oscilacao_016,oscilacao,2023-10-09 01:20:00,2023-10-09 12:40:00,69.0
oscilacao_017,oscilacao,2023-10-29 05:30:00,2023-10-29 12:50:00,45.0
oscilacao_018,oscilacao,2023-10-15 13:10:00,2023-10-15 20:50:00,47.0
oscilacao_019,oscilacao,2023-10-19 08:40:00,2023-10-19 20:00:00,69.0
oscilacao_020,oscilacao,2023-10-28 15:10:00,2023-10-28 21:30:00,39.0
oscilacao_021,oscilacao,2023-10-11 10:50:00,2023-10-11 21:40:00,66.0
oscilacao_022,oscilacao,2023-10-31 04:00:00,2023-10-31 15:50:00,72.0
oscilacao_023,oscilacao,2023-11-06 10:50:00,2023-11-06 20:10:00,57.0
oscilacao_024,oscilacao,2023-11-02 12:30:00,2023-11-02 23:40:00,68.0
oscilacao_025,oscilacao,2023-10-12 17:50:00,2023-10-13 01:40:00,48.0
oscilacao_026,oscilacao,2023-11-04 23:10:00,2023-11-05 06:40:00,46.0
oscilacao_027,oscilacao,2023-10-29 13:00:00,2023-10-29 23:10:00,62.0
oscilacao_028,oscilacao,2023-10-25 23:10:00,2023-10-26 09:20:00,62.0
oscilacao_029,oscilacao,2023-10-11 21:50:00,2023-10-12 04:20:00,40.0
oscilacao_030,oscilacao,2023-10-15 02:30:00,2023-10-15 13:00:00,64.0
lacuna_001,lacuna,2023-11-05 22:40:00,2023-11-06 02:50:00,26.0
lacuna_002,lacuna,2023-10-28 22:50:00,2023-10-29 05:20:00,40.0
lacuna_003,lacuna,2023-10-30 12:00:00,2023-10-30 16:00:00,25.0
lacuna_004,lacuna,2023-11-04 02:10:00,2023-11-04 09:30:00,45.0
lacuna_005,lacuna,2023-10-23 05:30:00,2023-10-23 10:50:00,33.0
lacuna_006,lacuna,2023-10-17 00:50:00,2023-10-17 08:20:00,46.0
lacuna_007,lacuna,2023-10-31 16:00:00,2023-10-31 21:00:00,31.0
lacuna_008,lacuna,2023-11-06 03:40:00,2023-11-06 10:40:00,43.0
lacuna_009,lacuna,2023-10-27 13:00:00,2023-10-27 20:30:00,46.0
lacuna_010,lacuna,2023-10-18 12:10:00,2023-10-18 16:50:00,29.0
lacuna_011,lacuna,2023-11-01 10:50:00,2023-11-01 18:40:00,48.0
lacuna_012,lacuna,2023-11-02 05:50:00,2023-11-02 10:10:00,27.0
lacuna_013,lacuna,2023-11-01 18:50:00,2023-11-02 01:10:00,39.0
lacuna_014,lacuna,2023-10-10 13:10:00,2023-10-10 19:30:00,39.0
lacuna_015,lacuna,2023-11-07 09:20:00,2023-11-07 16:20:00,43.0
lacuna_016,lacuna,2023-10-14 18:10:00,2023-10-15 00:50:00,41.0
lacuna_017,lacuna,2023-10-31 21:10:00,2023-11-01 02:40:00,34.0
lacuna_018,lacuna,2023-10-17 08:30:00,2023-10-17 15:00:00,40.0
lacuna_019,lacuna,2023-10-25 13:40:00,2023-10-25 21:00:00,45.0
lacuna_020,lacuna,2023-10-24 07:40:00,2023-10-24 12:40:00,31.0
lacuna_021,lacuna,2023-11-05 12:10:00,2023-11-05 16:20:00,26.0
lacuna_022,lacuna,2023-10-12 06:40:00,2023-10-12 12:10:00,34.0
lacuna_023,lacuna,2023-10-17 23:40:00,2023-10-18 07:30:00,48.0
