Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,15,15,0,404,0,533,0,1.0,1.0,1.0,1.0,1.0
10,15,16,1,201,4,264,0,0.9914712153518124,0.9804878048780488,1.0,0.9901477832512315,0.9925373134328358
15,15,15,0,136,0,177,0,1.0,1.0,1.0,1.0,1.0
20,15,17,2,103,2,130,0,0.9914893617021276,0.9809523809523809,1.0,0.9903846153846154,0.9924242424242424
25,15,16,1,81,2,105,0,0.9893617021276596,0.9759036144578314,1.0,0.9878048780487805,0.9906542056074766
30,15,15,0,69,3,85,0,0.9808917197452229,0.9583333333333334,1.0,0.9787234042553191,0.9829545454545454
35,14,14,0,58,1,75,0,0.9925373134328358,0.9830508474576272,1.0,0.9914529914529915,0.993421052631579
40,15,15,0,51,1,66,0,0.9915254237288136,0.9807692307692307,1.0,0.9902912621359223,0.9925373134328358
45,15,15,0,47,2,56,0,0.9809523809523809,0.9591836734693877,1.0,0.9791666666666666,0.9827586206896552
50,14,16,2,42,2,50,0,0.9787234042553191,0.9545454545454546,1.0,0.9767441860465116,0.9807692307692308
55,15,15,0,33,1,50,2,0.9651162790697675,0.9705882352941176,0.9428571428571428,0.9565217391304348,0.9616246498599439
60,15,15,0,34,2,40,3,0.9367088607594937,0.9444444444444444,0.918918918918919,0.9315068493150684,0.9356499356499357
65,15,12,-3,31,3,39,0,0.958904109589041,0.9117647058823529,1.0,0.9538461538461539,0.9642857142857143
70,14,14,0,28,1,37,1,0.9701492537313433,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9696007259528131
