Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,0,0,0,0,933,0,1.0,0.0,0.0,0.0,1.0
10,0,5,5,0,40,427,0,0.9143468950749465,0.0,0.0,0.0,0.9143468950749465
15,0,2,2,0,36,275,0,0.8842443729903537,0.0,0.0,0.0,0.8842443729903537
20,0,6,6,0,29,205,0,0.8760683760683761,0.0,0.0,0.0,0.8760683760683761
25,0,6,6,0,28,159,0,0.8502673796791443,0.0,0.0,0.0,0.8502673796791443
30,0,2,2,0,19,137,0,0.8782051282051282,0.0,0.0,0.0,0.8782051282051282
35,0,2,2,0,19,115,0,0.8582089552238806,0.0,0.0,0.0,0.8582089552238806
40,0,5,5,0,21,96,0,0.8205128205128205,0.0,0.0,0.0,0.8205128205128205
45,0,4,4,0,17,87,0,0.8365384615384616,0.0,0.0,0.0,0.8365384615384616
50,0,6,6,0,18,76,0,0.8085106382978723,0.0,0.0,0.0,0.8085106382978723
55,0,3,3,0,14,71,0,0.8352941176470589,0.0,0.0,0.0,0.8352941176470589
60,0,6,6,0,9,69,0,0.8846153846153846,0.0,0.0,0.0,0.8846153846153846
65,0,6,6,0,15,57,0,0.7916666666666666,0.0,0.0,0.0,0.7916666666666666
70,0,6,6,0,14,53,0,0.7910447761194029,0.0,0.0,0.0,0.7910447761194029
75,0,6,6,0,14,49,0,0.7777777777777778,0.0,0.0,0.0,0.7777777777777778
80,0,5,5,0,12,47,0,0.7966101694915254,0.0,0.0,0.0,0.7966101694915254
85,0,2,2,0,9,46,0,0.8363636363636363,0.0,0.0,0.0,0.8363636363636363
90,0,3,3,0,4,48,0,0.9230769230769231,0.0,0.0,0.0,0.9230769230769231
