Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,33,33,0,212,725,0,0.7737459978655283,0.0,0.0,0.0,0.7737459978655283
10,0,21,21,0,85,384,0,0.8187633262260128,0.0,0.0,0.0,0.8187633262260128
15,0,25,25,0,68,245,0,0.7827476038338658,0.0,0.0,0.0,0.7827476038338658
20,0,14,14,0,61,174,0,0.7404255319148936,0.0,0.0,0.0,0.7404255319148936
25,0,13,13,0,44,144,0,0.7659574468085106,0.0,0.0,0.0,0.7659574468085106
30,0,12,12,0,44,113,0,0.7197452229299363,0.0,0.0,0.0,0.7197452229299363
35,0,17,17,0,41,93,0,0.6940298507462687,0.0,0.0,0.0,0.6940298507462687
40,0,13,13,0,30,88,0,0.7457627118644068,0.0,0.0,0.0,0.7457627118644068
45,0,10,10,0,31,74,0,0.7047619047619048,0.0,0.0,0.0,0.7047619047619048
50,0,9,9,0,28,66,0,0.7021276595744681,0.0,0.0,0.0,0.7021276595744681
55,0,11,11,0,22,64,0,0.7441860465116279,0.0,0.0,0.0,0.7441860465116279
60,0,8,8,0,20,59,0,0.7468354430379747,0.0,0.0,0.0,0.7468354430379747
65,0,11,11,0,12,61,0,0.8356164383561644,0.0,0.0,0.0,0.8356164383561644
70,0,13,13,0,15,52,0,0.7761194029850746,0.0,0.0,0.0,0.7761194029850746
