Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,28,28,0,296,635,0,0.682062298603652,0.0,0.0,0.0,0.682062298603652
10,0,19,19,0,159,307,0,0.6587982832618026,0.0,0.0,0.0,0.6587982832618026
15,0,14,14,0,94,217,0,0.6977491961414791,0.0,0.0,0.0,0.6977491961414791
20,0,11,11,0,69,164,0,0.703862660944206,0.0,0.0,0.0,0.703862660944206
25,0,11,11,0,56,131,0,0.7005347593582888,0.0,0.0,0.0,0.7005347593582888
30,0,11,11,0,51,105,0,0.6730769230769231,0.0,0.0,0.0,0.6730769230769231
35,0,7,7,0,37,96,0,0.7218045112781954,0.0,0.0,0.0,0.7218045112781954
40,0,14,14,0,36,81,0,0.6923076923076923,0.0,0.0,0.0,0.6923076923076923
45,0,9,9,0,30,74,0,0.7115384615384616,0.0,0.0,0.0,0.7115384615384616
50,0,8,8,0,26,68,0,0.723404255319149,0.0,0.0,0.0,0.723404255319149
55,0,7,7,0,37,48,0,0.5647058823529412,0.0,0.0,0.0,0.5647058823529412
60,0,5,5,0,27,51,0,0.6538461538461539,0.0,0.0,0.0,0.6538461538461539
65,0,9,9,0,28,44,0,0.6111111111111112,0.0,0.0,0.0,0.6111111111111112
70,0,5,5,0,21,46,0,0.6865671641791045,0.0,0.0,0.0,0.6865671641791045
75,0,9,9,0,24,39,0,0.6190476190476191,0.0,0.0,0.0,0.6190476190476191
80,0,8,8,0,17,42,0,0.711864406779661,0.0,0.0,0.0,0.711864406779661
85,0,8,8,0,20,35,0,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364
90,0,6,6,0,17,35,0,0.6730769230769231,0.0,0.0,0.0,0.6730769230769231
95,0,5,5,0,16,33,0,0.673469387755102,0.0,0.0,0.0,0.673469387755102
100,0,4,4,0,10,37,0,0.7872340425531915,0.0,0.0,0.0,0.7872340425531915
