evento_id,falha,inicio,fim,duracao_pts,variavel,rodada,cenario,base
oscilacao_001,oscilacao,2023-10-08 08:10:00,2023-10-08 19:10:00,67.0,Temperatura,1,sem_erro,treino
oscilacao_002,oscilacao,2023-11-08 00:20:00,2023-11-08 09:20:00,55.0,Temperatura,1,sem_erro,treino
oscilacao_003,oscilacao,2023-10-09 19:50:00,2023-10-10 07:30:00,71.0,Temperatura,1,sem_erro,treino
oscilacao_004,oscilacao,2023-10-31 02:30:00,2023-10-31 11:40:00,56.0,Temperatura,1,sem_erro,treino
oscilacao_005,oscilacao,2023-10-21 17:40:00,2023-10-22 03:10:00,58.0,Temperatura,1,sem_erro,treino
oscilacao_006,oscilacao,2023-10-26 23:10:00,2023-10-27 05:10:00,37.0,Temperatura,1,sem_erro,treino
oscilacao_007,oscilacao,2023-10-30 15:30:00,2023-10-31 02:20:00,66.0,Temperatura,1,sem_erro,treino
oscilacao_008,oscilacao,2023-10-26 05:00:00,2023-10-26 12:10:00,44.0,Temperatura,1,sem_erro,treino
oscilacao_009,oscilacao,2023-10-21 10:00:00,2023-10-21 17:30:00,46.0,Temperatura,1,sem_erro,treino
oscilacao_010,oscilacao,2023-10-11 07:10:00,2023-10-11 16:50:00,59.0,Temperatura,1,sem_erro,treino
oscilacao_011,oscilacao,2023-10-26 14:30:00,2023-10-26 21:30:00,43.0,Temperatura,1,sem_erro,treino
oscilacao_012,oscilacao,2023-11-03 23:10:00,2023-11-04 05:40:00,40.0,Temperatura,1,sem_erro,treino
oscilacao_013,oscilacao,2023-10-07 08:10:00,2023-10-07 16:10:00,49.0,Temperatura,1,sem_erro,treino
oscilacao_014,oscilacao,2023-11-07 03:20:00,2023-11-07 14:20:00,67.0,Temperatura,1,sem_erro,treino
oscilacao_015,oscilacao,2023-10-16 19:00:00,2023-10-17 03:20:00,51.0,Temperatura,1,sem_erro,treino
oscilacao_016,oscilacao,2023-10-12 17:20:00,2023-10-13 00:10:00,42.0,Temperatura,1,sem_erro,treino
oscilacao_017,oscilacao,2023-10-23 14:00:00,2023-10-24 00:40:00,65.0,Temperatura,1,sem_erro,treino
oscilacao_018,oscilacao,2023-10-27 21:20:00,2023-10-28 06:10:00,54.0,Temperatura,1,sem_erro,treino
oscilacao_019,oscilacao,2023-10-28 15:30:00,2023-10-29 01:50:00,63.0,Temperatura,1,sem_erro,treino
oscilacao_020,oscilacao,2023-10-15 00:30:00,2023-10-15 10:20:00,60.0,Temperatura,1,sem_erro,treino
