Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,16,16,0,421,0,513,3,0.9967982924226254,1.0,0.9929245283018868,0.9964497041420118,0.9964622641509434
10,13,14,1,205,0,257,7,0.9850746268656716,1.0,0.9669811320754716,0.9832134292565947,0.9834905660377358
15,13,14,1,136,0,173,4,0.987220447284345,1.0,0.9714285714285714,0.9855072463768116,0.9857142857142858
20,13,13,0,104,0,130,1,0.9957446808510638,1.0,0.9904761904761905,0.9952153110047847,0.9952380952380953
25,13,13,0,83,0,104,1,0.9946808510638298,1.0,0.9880952380952381,0.9940119760479041,0.9940476190476191
30,13,14,1,67,0,86,4,0.9745222929936306,1.0,0.9436619718309859,0.9710144927536232,0.971830985915493
35,13,15,2,56,0,73,5,0.9626865671641791,1.0,0.9180327868852459,0.9572649572649573,0.959016393442623
40,13,13,0,53,0,65,0,1.0,1.0,1.0,1.0,1.0
45,13,13,0,47,0,57,1,0.9904761904761905,1.0,0.9791666666666666,0.9894736842105263,0.9895833333333333
50,13,14,1,40,0,52,2,0.9787234042553191,1.0,0.9523809523809523,0.975609756097561,0.9761904761904762
55,13,14,1,37,0,46,3,0.9651162790697675,1.0,0.925,0.961038961038961,0.9625
60,13,14,1,35,0,42,2,0.9746835443037974,1.0,0.9459459459459459,0.9722222222222222,0.972972972972973
65,14,14,0,31,0,41,1,0.9863013698630136,1.0,0.96875,0.9841269841269841,0.984375
70,13,15,2,26,0,38,3,0.9552238805970149,1.0,0.896551724137931,0.9454545454545454,0.9482758620689655
