Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,17,44,27,229,133,432,145,0.7039403620873269,0.6325966850828729,0.6122994652406417,0.6222826086956522,0.6884506175760731
10,16,42,26,115,72,210,73,0.6914893617021277,0.6149732620320856,0.6117021276595744,0.6133333333333333,0.678191489361702
15,14,33,19,74,51,137,51,0.6741214057507987,0.592,0.592,0.592,0.6603617021276595
20,14,33,19,60,38,100,37,0.6808510638297872,0.6122448979591837,0.6185567010309279,0.6153846153846154,0.6715971910951741
25,15,32,17,43,32,83,30,0.6702127659574468,0.5733333333333334,0.589041095890411,0.581081081081081,0.6553901131625968
30,14,25,11,40,26,67,24,0.6815286624203821,0.6060606060606061,0.625,0.6153846153846154,0.6727150537634409
35,15,27,12,24,23,62,26,0.6370370370370371,0.5106382978723404,0.48,0.4948453608247423,0.6047058823529412
40,13,27,14,31,23,46,18,0.652542372881356,0.5740740740740741,0.6326530612244898,0.6019417475728155,0.6496598639455782
45,13,22,9,25,17,46,17,0.6761904761904762,0.5952380952380952,0.5952380952380952,0.5952380952380952,0.6626984126984127
50,14,21,7,23,15,43,13,0.7021276595744681,0.6052631578947368,0.6388888888888888,0.6216216216216216,0.6901340996168582
55,14,20,6,13,12,43,18,0.6511627906976745,0.52,0.41935483870967744,0.4642857142857143,0.6005865102639296
60,14,17,3,20,11,34,14,0.6835443037974683,0.6451612903225806,0.5882352941176471,0.6153846153846154,0.6718954248366014
