Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,18,18,0,69,872,0,0.926673751328374,0.0,0.0,0.0,0.926673751328374
10,0,17,17,0,39,432,0,0.9171974522292994,0.0,0.0,0.0,0.9171974522292994
15,0,13,13,0,23,291,0,0.9267515923566879,0.0,0.0,0.0,0.9267515923566879
20,0,12,12,0,18,218,0,0.923728813559322,0.0,0.0,0.0,0.923728813559322
25,0,13,13,0,16,173,0,0.9153439153439153,0.0,0.0,0.0,0.9153439153439153
30,0,7,7,0,10,147,0,0.9363057324840764,0.0,0.0,0.0,0.9363057324840764
35,0,8,8,0,9,126,0,0.9333333333333333,0.0,0.0,0.0,0.9333333333333333
40,0,11,11,0,16,102,0,0.864406779661017,0.0,0.0,0.0,0.864406779661017
45,0,10,10,0,12,93,0,0.8857142857142857,0.0,0.0,0.0,0.8857142857142857
50,0,12,12,0,13,82,0,0.8631578947368421,0.0,0.0,0.0,0.8631578947368421
