Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,50,50,0,439,492,0,0.5284640171858217,0.0,0.0,0.0,0.5284640171858217
10,0,41,41,0,229,237,0,0.5085836909871244,0.0,0.0,0.0,0.5085836909871244
15,0,31,31,0,164,147,0,0.47266881028938906,0.0,0.0,0.0,0.47266881028938906
20,0,34,34,0,120,113,0,0.48497854077253216,0.0,0.0,0.0,0.48497854077253216
25,0,30,30,0,99,88,0,0.47058823529411764,0.0,0.0,0.0,0.47058823529411764
30,0,28,28,0,84,72,0,0.46153846153846156,0.0,0.0,0.0,0.46153846153846156
35,0,27,27,0,66,67,0,0.5037593984962406,0.0,0.0,0.0,0.5037593984962406
40,0,19,19,0,67,50,0,0.42735042735042733,0.0,0.0,0.0,0.42735042735042733
45,0,24,24,0,58,46,0,0.4423076923076923,0.0,0.0,0.0,0.4423076923076923
50,0,17,17,0,45,49,0,0.5212765957446809,0.0,0.0,0.0,0.5212765957446809
55,0,18,18,0,46,39,0,0.4588235294117647,0.0,0.0,0.0,0.4588235294117647
60,0,20,20,0,36,42,0,0.5384615384615384,0.0,0.0,0.0,0.5384615384615384
65,0,14,14,0,42,30,0,0.4166666666666667,0.0,0.0,0.0,0.4166666666666667
70,0,16,16,0,31,36,0,0.5373134328358209,0.0,0.0,0.0,0.5373134328358209
75,0,10,10,0,27,36,0,0.5714285714285714,0.0,0.0,0.0,0.5714285714285714
80,0,12,12,0,36,23,0,0.3898305084745763,0.0,0.0,0.0,0.3898305084745763
85,0,13,13,0,38,17,0,0.3090909090909091,0.0,0.0,0.0,0.3090909090909091
90,0,11,11,0,27,25,0,0.4807692307692308,0.0,0.0,0.0,0.4807692307692308
95,0,10,10,0,30,19,0,0.3877551020408163,0.0,0.0,0.0,0.3877551020408163
100,0,10,10,0,24,23,0,0.48936170212765956,0.0,0.0,0.0,0.48936170212765956
