evento_id,falha,inicio,fim,duracao_pts
oscilacao_001,oscilacao,2023-10-09 15:20:00,2023-10-09 21:10:00,36
oscilacao_002,oscilacao,2023-10-10 05:30:00,2023-10-10 15:30:00,61
oscilacao_003,oscilacao,2023-10-17 02:40:00,2023-10-17 12:00:00,57
oscilacao_004,oscilacao,2023-10-16 15:40:00,2023-10-17 02:30:00,66
oscilacao_005,oscilacao,2023-10-15 19:30:00,2023-10-16 02:00:00,40
oscilacao_006,oscilacao,2023-10-16 04:50:00,2023-10-16 11:50:00,43
oscilacao_007,oscilacao,2023-10-29 10:20:00,2023-10-29 19:20:00,55
oscilacao_008,oscilacao,2023-10-26 06:20:00,2023-10-26 12:30:00,38
oscilacao_009,oscilacao,2023-10-26 21:10:00,2023-10-27 09:00:00,72
oscilacao_010,oscilacao,2023-10-26 15:00:00,2023-10-26 21:00:00,37
oscilacao_011,oscilacao,2023-10-18 14:50:00,2023-10-18 21:50:00,43
oscilacao_012,oscilacao,2023-11-03 04:00:00,2023-11-03 11:30:00,46
oscilacao_013,oscilacao,2023-10-19 04:10:00,2023-10-19 14:40:00,64
oscilacao_014,oscilacao,2023-10-08 22:00:00,2023-10-09 08:20:00,63
oscilacao_015,oscilacao,2023-10-07 21:20:00,2023-10-08 04:00:00,41
oscilacao_016,oscilacao,2023-10-21 13:00:00,2023-10-21 19:20:00,39
oscilacao_017,oscilacao,2023-10-07 08:10:00,2023-10-07 19:40:00,70
oscilacao_018,oscilacao,2023-10-12 05:00:00,2023-10-12 14:10:00,56
oscilacao_019,oscilacao,2023-10-12 14:20:00,2023-10-13 01:40:00,69
oscilacao_020,oscilacao,2023-10-30 01:20:00,2023-10-30 10:20:00,55
oscilacao_021,oscilacao,2023-10-25 01:00:00,2023-10-25 11:40:00,65
oscilacao_022,oscilacao,2023-10-23 02:30:00,2023-10-23 12:50:00,63
oscilacao_023,oscilacao,2023-10-11 18:50:00,2023-10-12 04:50:00,61
oscilacao_024,oscilacao,2023-10-10 22:50:00,2023-10-11 10:10:00,69
oscilacao_025,oscilacao,2023-10-28 11:50:00,2023-10-28 22:00:00,62
oscilacao_026,oscilacao,2023-10-08 11:00:00,2023-10-08 21:50:00,66
oscilacao_027,oscilacao,2023-10-20 05:00:00,2023-10-20 15:10:00,62
oscilacao_028,oscilacao,2023-10-19 19:10:00,2023-10-20 04:50:00,59
oscilacao_029,oscilacao,2023-10-18 07:10:00,2023-10-18 13:20:00,38
lacuna_001,lacuna,2023-11-04 19:40:00,2023-11-05 02:40:00,43
lacuna_002,lacuna,2023-10-25 13:30:00,2023-10-25 17:30:00,25
lacuna_003,lacuna,2023-10-10 00:10:00,2023-10-10 05:20:00,32
lacuna_004,lacuna,2023-10-25 17:40:00,2023-10-25 21:40:00,25
lacuna_005,lacuna,2023-10-31 20:10:00,2023-11-01 01:00:00,30
lacuna_006,lacuna,2023-11-01 13:50:00,2023-11-01 20:20:00,40
lacuna_007,lacuna,2023-11-06 19:40:00,2023-11-07 03:30:00,48
lacuna_008,lacuna,2023-10-23 22:50:00,2023-10-24 06:10:00,45
lacuna_009,lacuna,2023-10-24 10:30:00,2023-10-24 15:10:00,29
lacuna_010,lacuna,2023-10-28 00:10:00,2023-10-28 05:30:00,33
lacuna_011,lacuna,2023-10-15 11:00:00,2023-10-15 17:10:00,38
lacuna_012,lacuna,2023-11-01 20:30:00,2023-11-02 04:10:00,47
lacuna_013,lacuna,2023-10-18 02:30:00,2023-10-18 07:00:00,28
lacuna_014,lacuna,2023-10-22 20:10:00,2023-10-23 01:50:00,35
lacuna_015,lacuna,2023-11-04 15:30:00,2023-11-04 19:30:00,25
lacuna_016,lacuna,2023-10-14 03:30:00,2023-10-14 08:40:00,32
lacuna_017,lacuna,2023-10-27 09:10:00,2023-10-27 14:50:00,35
lacuna_018,lacuna,2023-10-21 19:30:00,2023-10-22 02:00:00,40
lacuna_019,lacuna,2023-10-28 22:10:00,2023-10-29 03:20:00,32
lacuna_020,lacuna,2023-11-05 14:00:00,2023-11-05 18:00:00,25
lacuna_021,lacuna,2023-11-05 09:00:00,2023-11-05 13:50:00,30
lacuna_022,lacuna,2023-10-13 18:10:00,2023-10-14 01:10:00,43
lacuna_023,lacuna,2023-10-29 19:30:00,2023-10-30 00:30:00,31
lacuna_024,lacuna,2023-11-05 04:50:00,2023-11-05 08:50:00,25
queda_001,queda,2023-10-21 05:00:00,2023-10-21 09:00:00,25
queda_002,queda,2023-10-11 13:20:00,2023-10-11 18:40:00,33
queda_003,queda,2023-11-02 07:10:00,2023-11-02 12:40:00,34
queda_004,queda,2023-11-02 22:10:00,2023-11-03 01:20:00,20
queda_005,queda,2023-10-18 22:40:00,2023-10-19 04:00:00,33
queda_006,queda,2023-10-27 21:10:00,2023-10-28 00:00:00,18
queda_007,queda,2023-10-17 23:30:00,2023-10-18 02:20:00,18
queda_008,queda,2023-11-06 05:00:00,2023-11-06 08:00:00,19
queda_009,queda,2023-10-23 13:00:00,2023-10-23 17:30:00,28
queda_010,queda,2023-10-13 10:50:00,2023-10-13 14:10:00,21
queda_011,queda,2023-10-24 19:40:00,2023-10-25 00:50:00,32
queda_012,queda,2023-10-23 18:00:00,2023-10-23 22:40:00,29
queda_013,queda,2023-10-28 05:40:00,2023-10-28 10:10:00,28
queda_014,queda,2023-10-09 09:40:00,2023-10-09 12:50:00,20
queda_015,queda,2023-10-17 12:10:00,2023-10-17 18:00:00,36
queda_016,queda,2023-11-05 23:30:00,2023-11-06 04:50:00,33
queda_017,queda,2023-10-10 17:40:00,2023-10-10 22:30:00,30
queda_018,queda,2023-10-24 06:20:00,2023-10-24 09:40:00,21
queda_019,queda,2023-11-02 18:50:00,2023-11-02 22:00:00,20
queda_020,queda,2023-11-04 02:30:00,2023-11-04 07:10:00,29
queda_021,queda,2023-10-29 07:10:00,2023-10-29 10:10:00,19
queda_022,queda,2023-10-20 15:20:00,2023-10-20 20:40:00,33
queda_023,queda,2023-11-02 15:40:00,2023-11-02 18:30:00,18
queda_024,queda,2023-11-04 11:30:00,2023-11-04 15:20:00,24
queda_025,queda,2023-11-07 23:30:00,2023-11-08 03:20:00,24
