Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,16,16,0,491,0,442,0,1.0,1.0,1.0,1.0,1.0
10,16,16,0,247,0,220,0,1.0,1.0,1.0,1.0,1.0
15,15,15,0,164,0,147,0,1.0,1.0,1.0,1.0,1.0
20,16,16,0,124,0,110,0,1.0,1.0,1.0,1.0,1.0
25,15,15,0,94,0,90,3,0.983957219251337,1.0,0.9690721649484536,0.9842931937172775,0.9845360824742269
30,15,15,0,79,0,75,2,0.9871794871794872,1.0,0.9753086419753086,0.9875,0.9876543209876543
35,15,15,0,73,0,61,0,1.0,1.0,1.0,1.0,1.0
40,14,14,0,61,0,56,0,1.0,1.0,1.0,1.0,1.0
45,15,15,0,47,0,54,3,0.9711538461538461,1.0,0.94,0.9690721649484536,0.97
50,13,14,1,46,0,45,3,0.9680851063829787,1.0,0.9387755102040817,0.968421052631579,0.9693877551020409
55,12,12,0,46,0,39,0,1.0,1.0,1.0,1.0,1.0
60,14,15,1,38,0,38,2,0.9743589743589743,1.0,0.95,0.9743589743589743,0.975
65,13,13,0,38,0,34,0,1.0,1.0,1.0,1.0,1.0
70,10,10,0,38,0,29,0,1.0,1.0,1.0,1.0,1.0
75,11,12,1,34,0,28,1,0.9841269841269841,1.0,0.9714285714285714,0.9855072463768116,0.9857142857142858
80,11,11,0,33,0,26,0,1.0,1.0,1.0,1.0,1.0
85,12,12,0,28,0,27,0,1.0,1.0,1.0,1.0,1.0
90,13,13,0,25,0,27,0,1.0,1.0,1.0,1.0,1.0
