Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,12,64,52,321,316,183,111,0.5413533834586466,0.5039246467817896,0.7430555555555556,0.6005612722170253,0.5548945112447117
10,12,11,-1,209,242,7,8,0.463519313304721,0.4634146341463415,0.9631336405529954,0.625748502994012,0.4956230451760961
15,12,50,38,94,75,90,52,0.5916398713826366,0.5562130177514792,0.6438356164383562,0.5968253968253968,0.5946450809464507
20,11,20,9,19,8,119,87,0.592274678111588,0.7037037037037037,0.1792452830188679,0.2857142857142857,0.558126578517308
25,11,35,24,52,30,70,35,0.6524064171122995,0.6341463414634146,0.5977011494252874,0.6153846153846154,0.6488505747126436
30,12,28,16,54,46,38,18,0.5897435897435898,0.54,0.75,0.627906976744186,0.6011904761904762
35,10,23,13,46,48,23,16,0.518796992481203,0.48936170212765956,0.7419354838709677,0.5897435897435898,0.5329395729213994
40,11,26,15,33,34,31,19,0.5470085470085471,0.4925373134328358,0.6346153846153846,0.5546218487394958,0.5557692307692308
45,10,18,8,25,19,36,24,0.5865384615384616,0.5681818181818182,0.5102040816326531,0.5376344086021505,0.5823747680890539
50,11,21,10,20,13,37,24,0.6063829787234043,0.6060606060606061,0.45454545454545453,0.5194805194805194,0.5972727272727273
55,11,23,12,20,24,24,17,0.5176470588235295,0.45454545454545453,0.5405405405405406,0.49382716049382713,0.5202702702702703
60,11,22,11,18,18,24,18,0.5384615384615384,0.5,0.5,0.5,0.5357142857142857
65,10,19,9,16,17,20,19,0.5,0.48484848484848486,0.45714285714285713,0.47058823529411764,0.4988416988416988
70,10,13,3,15,14,24,14,0.582089552238806,0.5172413793103449,0.5172413793103449,0.5172413793103449,0.574410163339383
75,11,13,2,18,15,18,12,0.5714285714285714,0.5454545454545454,0.6,0.5714285714285714,0.5727272727272728
80,10,17,7,17,13,20,9,0.6271186440677966,0.5666666666666667,0.6538461538461539,0.6071428571428571,0.62995337995338
85,11,13,2,11,12,18,14,0.5272727272727272,0.4782608695652174,0.44,0.4583333333333333,0.52
90,10,14,4,14,10,18,10,0.6153846153846154,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6130952380952381
95,10,10,0,11,9,15,14,0.5306122448979592,0.55,0.44,0.4888888888888889,0.5325
100,10,14,4,11,7,18,11,0.6170212765957447,0.6111111111111112,0.5,0.55,0.61
