Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,2,2,0,4,935,0,0.9957401490947817,0.0,0.0,0.0,0.9957401490947817
10,0,2,2,0,6,464,0,0.9872340425531915,0.0,0.0,0.0,0.9872340425531915
15,0,1,1,0,1,312,0,0.9968051118210862,0.0,0.0,0.0,0.9968051118210862
20,0,1,1,0,1,234,0,0.9957446808510638,0.0,0.0,0.0,0.9957446808510638
25,0,1,1,0,1,187,0,0.9946808510638298,0.0,0.0,0.0,0.9946808510638298
30,0,1,1,0,1,156,0,0.9936305732484076,0.0,0.0,0.0,0.9936305732484076
35,0,5,5,0,7,128,0,0.9481481481481482,0.0,0.0,0.0,0.9481481481481482
40,0,3,3,0,3,115,0,0.9745762711864406,0.0,0.0,0.0,0.9745762711864406
45,0,1,1,0,1,104,0,0.9904761904761905,0.0,0.0,0.0,0.9904761904761905
50,0,1,1,0,1,93,0,0.9893617021276596,0.0,0.0,0.0,0.9893617021276596
55,0,7,7,0,8,78,0,0.9069767441860465,0.0,0.0,0.0,0.9069767441860465
60,0,2,2,0,2,77,0,0.9746835443037974,0.0,0.0,0.0,0.9746835443037974
