Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,21,46,25,218,92,425,204,0.6847710330138446,0.7032258064516129,0.5165876777251185,0.5956284153005464,0.6693189839302576
10,20,39,19,106,54,206,104,0.6638297872340425,0.6625,0.5047619047619047,0.572972972972973,0.6485347985347985
15,19,32,13,67,33,137,76,0.6517571884984026,0.67,0.46853146853146854,0.551440329218107,0.6372069107363225
20,19,31,12,48,23,109,55,0.6680851063829787,0.676056338028169,0.46601941747572817,0.5517241379310345,0.645888496616652
25,20,25,5,45,14,93,36,0.7340425531914894,0.7627118644067796,0.5555555555555556,0.6428571428571429,0.7123572170301142
30,18,26,8,34,16,70,37,0.6624203821656051,0.68,0.4788732394366197,0.5619834710743802,0.6464133639043563
35,19,24,5,28,11,60,36,0.6518518518518519,0.717948717948718,0.4375,0.5436893203883495,0.6412852112676056
40,18,20,2,19,11,57,31,0.6440677966101694,0.6333333333333333,0.38,0.475,0.6091176470588235
45,18,23,5,21,16,43,25,0.6095238095238096,0.5675675675675675,0.45652173913043476,0.5060240963855421,0.5926676492262343
50,18,21,3,25,12,41,16,0.7021276595744681,0.6756756756756757,0.6097560975609756,0.6410256410256411,0.6916705016106766
55,18,19,1,18,14,35,19,0.6162790697674418,0.5625,0.4864864864864865,0.5217391304347826,0.6003861003861004
60,16,19,3,20,12,32,15,0.6582278481012658,0.625,0.5714285714285714,0.5970149253731343,0.6493506493506493
