evento_id,falha,inicio,fim,duracao_pts
oscilacao_001,oscilacao,2023-10-28 07:30:00,2023-10-28 15:50:00,51.0
oscilacao_002,oscilacao,2023-10-09 22:20:00,2023-10-10 10:10:00,72.0
oscilacao_003,oscilacao,2023-10-19 01:50:00,2023-10-19 12:40:00,66.0
oscilacao_004,oscilacao,2023-11-05 02:30:00,2023-11-05 10:30:00,49.0
oscilacao_005,oscilacao,2023-10-12 16:50:00,2023-10-13 03:50:00,67.0
oscilacao_006,oscilacao,2023-10-14 16:00:00,2023-10-14 23:40:00,47.0
oscilacao_007,oscilacao,2023-11-07 14:30:00,2023-11-07 22:10:00,47.0
oscilacao_008,oscilacao,2023-11-07 22:20:00,2023-11-08 08:00:00,59.0
oscilacao_009,oscilacao,2023-10-28 00:10:00,2023-10-28 07:20:00,44.0
oscilacao_010,oscilacao,2023-11-05 10:40:00,2023-11-05 20:30:00,60.0
oscilacao_011,oscilacao,2023-10-17 20:10:00,2023-10-18 03:00:00,42.0
oscilacao_012,oscilacao,2023-10-20 18:30:00,2023-10-21 04:50:00,63.0
oscilacao_013,oscilacao,2023-10-27 04:00:00,2023-10-27 12:10:00,50.0
oscilacao_014,oscilacao,2023-10-25 05:40:00,2023-10-25 14:20:00,53.0
oscilacao_015,oscilacao,2023-10-17 01:10:00,2023-10-17 12:40:00,70.0
oscilacao_016,oscilacao,2023-10-22 04:00:00,2023-10-22 10:10:00,38.0
oscilacao_017,oscilacao,2023-10-20 10:20:00,2023-10-20 18:20:00,49.0
oscilacao_018,oscilacao,2023-10-18 19:00:00,2023-10-19 01:40:00,41.0
oscilacao_019,oscilacao,2023-10-28 21:40:00,2023-10-29 03:40:00,37.0
oscilacao_020,oscilacao,2023-10-30 14:20:00,2023-10-31 01:20:00,67.0
oscilacao_021,oscilacao,2023-10-22 23:00:00,2023-10-23 07:20:00,51.0
oscilacao_022,oscilacao,2023-10-22 10:20:00,2023-10-22 20:10:00,60.0
oscilacao_023,oscilacao,2023-10-11 02:20:00,2023-10-11 08:30:00,38.0
oscilacao_024,oscilacao,2023-10-24 18:30:00,2023-10-25 05:30:00,67.0
oscilacao_025,oscilacao,2023-10-31 01:30:00,2023-10-31 11:30:00,61.0
lacuna_001,lacuna,2023-11-07 07:30:00,2023-11-07 14:20:00,42.0
lacuna_002,lacuna,2023-10-08 07:10:00,2023-10-08 13:40:00,40.0
lacuna_003,lacuna,2023-10-14 23:50:00,2023-10-15 04:50:00,31.0
lacuna_004,lacuna,2023-10-29 19:20:00,2023-10-30 00:20:00,31.0
lacuna_005,lacuna,2023-10-29 15:00:00,2023-10-29 19:10:00,26.0
lacuna_006,lacuna,2023-10-13 22:30:00,2023-10-14 05:50:00,45.0
lacuna_007,lacuna,2023-11-06 10:00:00,2023-11-06 16:50:00,42.0
lacuna_008,lacuna,2023-11-03 05:50:00,2023-11-03 10:00:00,26.0
lacuna_009,lacuna,2023-10-26 20:20:00,2023-10-27 03:50:00,46.0
lacuna_010,lacuna,2023-11-04 18:50:00,2023-11-05 02:20:00,46.0
lacuna_011,lacuna,2023-11-06 17:00:00,2023-11-07 00:50:00,48.0
lacuna_012,lacuna,2023-11-06 02:10:00,2023-11-06 09:50:00,47.0
lacuna_013,lacuna,2023-11-03 23:50:00,2023-11-04 07:00:00,44.0
lacuna_014,lacuna,2023-11-04 11:20:00,2023-11-04 15:30:00,26.0
lacuna_015,lacuna,2023-10-27 18:00:00,2023-10-28 00:00:00,37.0
lacuna_016,lacuna,2023-10-21 20:00:00,2023-10-22 03:30:00,46.0
lacuna_017,lacuna,2023-10-30 00:30:00,2023-10-30 06:10:00,35.0
lacuna_018,lacuna,2023-10-31 11:40:00,2023-10-31 16:50:00,32.0
lacuna_019,lacuna,2023-10-13 15:20:00,2023-10-13 22:20:00,43.0
lacuna_020,lacuna,2023-11-08 08:10:00,2023-11-08 12:20:00,26.0
lacuna_021,lacuna,2023-10-13 04:00:00,2023-10-13 11:10:00,44.0
lacuna_022,lacuna,2023-10-26 07:30:00,2023-10-26 11:30:00,25.0
lacuna_023,lacuna,2023-10-15 18:30:00,2023-10-15 23:20:00,30.0
lacuna_024,lacuna,2023-10-31 22:20:00,2023-11-01 02:30:00,26.0
queda_001,queda,2023-10-24 14:40:00,2023-10-24 18:20:00,23.0
queda_002,queda,2023-10-10 11:20:00,2023-10-10 15:10:00,24.0
queda_003,queda,2023-11-04 15:40:00,2023-11-04 18:30:00,18.0
queda_004,queda,2023-11-01 12:50:00,2023-11-01 17:30:00,29.0
queda_005,queda,2023-10-24 10:30:00,2023-10-24 14:30:00,25.0
queda_006,queda,2023-10-10 22:00:00,2023-10-11 02:10:00,26.0
queda_007,queda,2023-10-27 12:20:00,2023-10-27 16:40:00,27.0
queda_008,queda,2023-10-11 08:40:00,2023-10-11 13:40:00,31.0
queda_009,queda,2023-10-23 14:40:00,2023-10-23 17:40:00,19.0
