Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,40,40,0,336,599,0,0.6406417112299465,0.0,0.0,0.0,0.6406417112299465
10,0,37,37,0,176,292,0,0.6239316239316239,0.0,0.0,0.0,0.6239316239316239
15,0,26,26,0,105,207,0,0.6634615384615384,0.0,0.0,0.0,0.6634615384615384
20,0,24,24,0,80,154,0,0.6581196581196581,0.0,0.0,0.0,0.6581196581196581
25,0,24,24,0,78,109,0,0.5828877005347594,0.0,0.0,0.0,0.5828877005347594
30,0,22,22,0,64,92,0,0.5897435897435898,0.0,0.0,0.0,0.5897435897435898
35,0,19,19,0,45,89,0,0.664179104477612,0.0,0.0,0.0,0.664179104477612
40,0,17,17,0,47,70,0,0.5982905982905983,0.0,0.0,0.0,0.5982905982905983
45,0,19,19,0,38,66,0,0.6346153846153846,0.0,0.0,0.0,0.6346153846153846
50,0,19,19,0,45,49,0,0.5212765957446809,0.0,0.0,0.0,0.5212765957446809
55,0,22,22,0,30,55,0,0.6470588235294118,0.0,0.0,0.0,0.6470588235294118
60,0,14,14,0,33,45,0,0.5769230769230769,0.0,0.0,0.0,0.5769230769230769
65,0,17,17,0,30,42,0,0.5833333333333334,0.0,0.0,0.0,0.5833333333333334
70,0,13,13,0,34,33,0,0.4925373134328358,0.0,0.0,0.0,0.4925373134328358
75,0,15,15,0,24,39,0,0.6190476190476191,0.0,0.0,0.0,0.6190476190476191
80,0,15,15,0,17,42,0,0.711864406779661,0.0,0.0,0.0,0.711864406779661
