teste,modelo,falha,janela,passo_cfg,passo_real,amostras_treino,amostras_teste,positivos_treino,negativos_treino,positivos_teste,negativos_teste,eventos_reais_teste,eventos_detectados,diferenca_eventos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,specificity,tn,fp,fn,tp,path_cm,path_eventos
com_erro,catboost,lacuna,20,5,5,947,947,264,683,246,701,17,17,0,1.0,1.0,1.0,1.0,1.0,0.9999999999985735,701,0,0,246,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_4\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_4_com_erro_catboost_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_4\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_4_com_erro_catboost_lacuna_jan20_passo5_eventos.png
com_erro,catboost,oscilacao,100,70,70,67,67,48,19,35,32,10,10,0,0.6716417910447762,0.6616071428571428,0.6326530612244898,0.8857142857142857,0.7380952380952381,0.43749999998632816,14,18,4,31,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_4\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_4_com_erro_catboost_oscilacao_jan100_passo70_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_4\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_4_com_erro_catboost_oscilacao_jan100_passo70_eventos.png
com_erro,catboost,queda,90,75,75,63,63,28,35,28,35,12,12,0,0.746031746031746,0.7392857142857143,0.7307692307692307,0.6785714285714286,0.7037037037037037,0.7999999999771429,28,7,9,19,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_4\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_4_com_erro_catboost_queda_jan90_passo75_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_4\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_4_com_erro_catboost_queda_jan90_passo75_eventos.png
com_erro,mlp,lacuna,30,25,25,189,189,58,131,54,135,15,15,0,1.0,1.0,1.0,1.0,1.0,0.9999999999925927,135,0,0,54,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_4\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_4_com_erro_mlp_lacuna_jan30_passo25_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_4\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_4_com_erro_mlp_lacuna_jan30_passo25_eventos.png
com_erro,mlp,oscilacao,100,70,70,67,67,48,19,35,32,10,12,2,0.7910447761194029,0.7866071428571428,0.7560975609756098,0.8857142857142857,0.8157894736842105,0.6874999999785157,22,10,4,31,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_4\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_4_com_erro_mlp_oscilacao_jan100_passo70_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_4\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_4_com_erro_mlp_oscilacao_jan100_passo70_eventos.png
com_erro,mlp,queda,100,70,70,67,67,32,35,29,38,12,12,0,0.5970149253731343,0.5998185117967332,0.5294117647058824,0.6206896551724138,0.5714285714285714,0.5789473684058172,22,16,11,18,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_4\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_4_com_erro_mlp_queda_jan100_passo70_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_4\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_4_com_erro_mlp_queda_jan100_passo70_eventos.png
com_erro,random_forest,lacuna,20,5,5,947,947,264,683,246,701,17,17,0,1.0,1.0,1.0,1.0,1.0,0.9999999999985735,701,0,0,246,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_4\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_4_com_erro_random_forest_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_4\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_4_com_erro_random_forest_lacuna_jan20_passo5_eventos.png
com_erro,random_forest,oscilacao,100,50,50,94,94,65,29,48,46,10,12,2,0.6702127659574468,0.6648550724637681,0.6197183098591549,0.9166666666666666,0.7394957983193278,0.4130434782518904,19,27,4,44,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_4\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_4_com_erro_random_forest_oscilacao_jan100_passo50_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_4\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_4_com_erro_random_forest_oscilacao_jan100_passo50_eventos.png
com_erro,random_forest,queda,80,70,70,67,67,29,38,28,39,12,12,0,0.6567164179104478,0.6446886446886446,0.5925925925925926,0.5714285714285714,0.5818181818181818,0.7179487179303091,28,11,12,16,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_4\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_4_com_erro_random_forest_queda_jan80_passo70_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_4\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_4_com_erro_random_forest_queda_jan80_passo70_eventos.png
com_erro,xgboost,lacuna,20,5,5,947,947,264,683,246,701,17,17,0,1.0,1.0,1.0,1.0,1.0,0.9999999999985735,701,0,0,246,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_4\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_4_com_erro_xgboost_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_4\com_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_4_com_erro_xgboost_lacuna_jan20_passo5_eventos.png
