evento_id,falha,inicio,fim,duracao_pts
oscilacao_001,oscilacao,2023-10-23 03:00:00,2023-10-23 09:50:00,42.0
oscilacao_002,oscilacao,2023-10-31 03:20:00,2023-10-31 11:00:00,47.0
oscilacao_003,oscilacao,2023-11-03 20:20:00,2023-11-04 07:10:00,66.0
oscilacao_004,oscilacao,2023-10-15 17:10:00,2023-10-16 04:00:00,66.0
oscilacao_005,oscilacao,2023-10-23 10:00:00,2023-10-23 17:10:00,44.0
oscilacao_006,oscilacao,2023-10-26 13:10:00,2023-10-26 20:30:00,45.0
oscilacao_007,oscilacao,2023-10-09 14:00:00,2023-10-10 00:10:00,62.0
oscilacao_008,oscilacao,2023-10-17 13:10:00,2023-10-18 01:00:00,72.0
oscilacao_009,oscilacao,2023-10-18 04:30:00,2023-10-18 10:30:00,37.0
oscilacao_010,oscilacao,2023-10-31 18:20:00,2023-11-01 02:40:00,51.0
oscilacao_011,oscilacao,2023-10-19 01:00:00,2023-10-19 08:50:00,48.0
oscilacao_012,oscilacao,2023-11-07 11:20:00,2023-11-07 20:30:00,56.0
oscilacao_013,oscilacao,2023-11-03 08:40:00,2023-11-03 20:00:00,69.0
oscilacao_014,oscilacao,2023-10-27 07:50:00,2023-10-27 19:00:00,68.0
oscilacao_015,oscilacao,2023-10-12 06:20:00,2023-10-12 14:40:00,51.0
oscilacao_016,oscilacao,2023-10-07 11:20:00,2023-10-07 22:50:00,70.0
oscilacao_017,oscilacao,2023-10-28 01:00:00,2023-10-28 08:10:00,44.0
oscilacao_018,oscilacao,2023-10-30 19:10:00,2023-10-31 01:50:00,41.0
oscilacao_019,oscilacao,2023-11-07 21:50:00,2023-11-08 08:40:00,66.0
oscilacao_020,oscilacao,2023-10-13 01:30:00,2023-10-13 08:00:00,40.0
lacuna_001,lacuna,2023-10-15 01:40:00,2023-10-15 08:40:00,43.0
lacuna_002,lacuna,2023-10-17 06:10:00,2023-10-17 13:00:00,42.0
lacuna_003,lacuna,2023-11-02 07:40:00,2023-11-02 11:30:00,24.0
lacuna_004,lacuna,2023-11-05 23:50:00,2023-11-06 07:10:00,45.0
lacuna_005,lacuna,2023-10-09 00:10:00,2023-10-09 04:50:00,29.0
lacuna_006,lacuna,2023-10-12 14:50:00,2023-10-12 20:40:00,36.0
lacuna_007,lacuna,2023-10-25 16:30:00,2023-10-25 23:20:00,42.0
lacuna_008,lacuna,2023-10-08 19:20:00,2023-10-09 00:00:00,29.0
lacuna_009,lacuna,2023-10-15 08:50:00,2023-10-15 13:00:00,26.0
lacuna_010,lacuna,2023-10-28 19:30:00,2023-10-29 03:20:00,48.0
lacuna_011,lacuna,2023-10-16 04:10:00,2023-10-16 12:00:00,48.0
lacuna_012,lacuna,2023-10-18 15:10:00,2023-10-18 21:30:00,39.0
lacuna_013,lacuna,2023-10-23 17:20:00,2023-10-23 23:30:00,38.0
lacuna_014,lacuna,2023-10-09 05:00:00,2023-10-09 10:00:00,31.0
lacuna_015,lacuna,2023-11-01 06:00:00,2023-11-01 13:00:00,43.0
lacuna_016,lacuna,2023-10-28 08:20:00,2023-10-28 15:20:00,43.0
lacuna_017,lacuna,2023-10-14 10:40:00,2023-10-14 16:40:00,37.0
lacuna_018,lacuna,2023-11-06 18:30:00,2023-11-07 00:40:00,38.0
lacuna_019,lacuna,2023-10-16 15:00:00,2023-10-16 20:10:00,32.0
lacuna_020,lacuna,2023-11-06 07:20:00,2023-11-06 12:00:00,29.0
lacuna_021,lacuna,2023-11-07 02:20:00,2023-11-07 09:50:00,46.0
lacuna_022,lacuna,2023-11-04 14:00:00,2023-11-04 17:50:00,24.0
lacuna_023,lacuna,2023-10-25 09:10:00,2023-10-25 16:20:00,44.0
lacuna_024,lacuna,2023-11-02 00:30:00,2023-11-02 07:30:00,43.0
queda_001,queda,2023-11-05 01:50:00,2023-11-05 07:00:00,32.0
queda_002,queda,2023-10-31 14:30:00,2023-10-31 18:10:00,23.0
queda_003,queda,2023-10-14 17:20:00,2023-10-14 23:00:00,35.0
queda_004,queda,2023-10-30 04:30:00,2023-10-30 07:30:00,19.0
queda_005,queda,2023-10-19 18:20:00,2023-10-19 22:50:00,28.0
queda_006,queda,2023-10-20 23:00:00,2023-10-21 02:50:00,24.0
queda_007,queda,2023-10-24 01:30:00,2023-10-24 07:20:00,36.0
queda_008,queda,2023-10-10 22:10:00,2023-10-11 01:20:00,20.0
queda_009,queda,2023-10-11 14:40:00,2023-10-11 20:00:00,33.0
queda_010,queda,2023-10-26 06:30:00,2023-10-26 11:30:00,31.0
queda_011,queda,2023-10-12 01:20:00,2023-10-12 06:10:00,30.0
queda_012,queda,2023-10-19 09:00:00,2023-10-19 13:10:00,26.0
queda_013,queda,2023-10-26 20:40:00,2023-10-26 23:50:00,20.0
queda_014,queda,2023-10-27 00:00:00,2023-10-27 03:50:00,24.0
queda_015,queda,2023-10-29 07:00:00,2023-10-29 12:10:00,32.0
queda_016,queda,2023-10-08 02:50:00,2023-10-08 07:50:00,31.0
queda_017,queda,2023-10-24 21:40:00,2023-10-25 03:10:00,34.0
queda_018,queda,2023-11-05 12:40:00,2023-11-05 16:40:00,25.0
queda_019,queda,2023-11-02 14:50:00,2023-11-02 20:10:00,33.0
queda_020,queda,2023-11-05 18:40:00,2023-11-05 23:40:00,31.0
queda_021,queda,2023-10-13 13:30:00,2023-10-13 16:20:00,18.0
oscilacao_final,oscilacao,,,
lacuna_final,lacuna,,,
queda_final,queda,,,
