Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,12,20,8,379,14,537,7,0.9775880469583778,0.9643765903307888,0.9818652849740933,0.9730423620025674,0.9782284682583715
10,12,14,2,190,3,272,4,0.9850746268656716,0.9844559585492227,0.979381443298969,0.9819121447028424,0.9842361761949391
15,12,13,1,116,1,180,16,0.9456869009584664,0.9914529914529915,0.8787878787878788,0.9317269076305221,0.9366315084547129
20,12,13,1,95,1,137,2,0.9872340425531915,0.9895833333333334,0.979381443298969,0.9844559585492227,0.9860675332436875
25,12,13,1,73,2,110,3,0.973404255319149,0.9733333333333334,0.9605263157894737,0.9668874172185431,0.9713345864661653
30,11,13,2,61,1,88,7,0.9490445859872612,0.9838709677419355,0.8970588235294118,0.9384615384615385,0.942911434236616
35,10,11,1,54,2,75,3,0.9626865671641791,0.9642857142857143,0.9473684210526315,0.9557522123893806,0.9606971975393028
40,12,13,1,44,0,71,3,0.9745762711864406,1.0,0.9361702127659575,0.967032967032967,0.9680851063829787
45,11,14,3,40,3,59,3,0.9428571428571428,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9409227306826706
50,11,11,0,35,2,55,2,0.9574468085106383,0.9459459459459459,0.9459459459459459,0.9459459459459459,0.9554291133238502
55,11,10,-1,36,1,48,1,0.9767441860465116,0.972972972972973,0.972972972972973,0.972972972972973,0.9762824048538334
60,11,12,1,30,2,43,4,0.9240506329113924,0.9375,0.8823529411764706,0.9090909090909091,0.9189542483660131
65,12,12,0,27,2,40,4,0.9178082191780822,0.9310344827586207,0.8709677419354839,0.9,0.911674347158218
70,10,12,2,25,3,34,5,0.8805970149253731,0.8928571428571429,0.8333333333333334,0.8620689655172413,0.8761261261261262
