Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,10,35,25,395,194,281,63,0.7245444801714899,0.6706281833616299,0.8624454148471615,0.7545367717287488,0.7270121811077913
10,10,28,18,196,111,126,34,0.6895074946466809,0.6384364820846905,0.8521739130434782,0.7299813780260708,0.6919097413318657
15,10,27,17,129,70,88,24,0.6977491961414791,0.6482412060301508,0.8431372549019608,0.7329545454545454,0.7000496401092082
20,10,31,21,98,52,68,16,0.7094017094017094,0.6533333333333333,0.8596491228070176,0.7424242424242424,0.7131578947368421
25,10,20,10,78,37,59,13,0.732620320855615,0.6782608695652174,0.8571428571428571,0.7572815533980582,0.7358630952380952
30,10,22,12,64,37,42,13,0.6794871794871795,0.6336633663366337,0.8311688311688312,0.7191011235955056,0.6814072003945422
35,10,20,10,53,35,34,12,0.6492537313432836,0.6022727272727273,0.8153846153846154,0.6928104575163399,0.6540691192865106
40,10,23,13,44,32,29,12,0.6239316239316239,0.5789473684210527,0.7857142857142857,0.6666666666666666,0.6305620608899297
45,10,18,8,42,20,31,11,0.7019230769230769,0.6774193548387096,0.7924528301886793,0.7304347826086957,0.7001479837217905
50,10,16,6,38,17,30,9,0.723404255319149,0.6909090909090909,0.8085106382978723,0.7450980392156863,0.7234042553191489
55,10,17,7,32,11,33,9,0.7647058823529411,0.7441860465116279,0.7804878048780488,0.7619047619047619,0.7652439024390244
60,10,16,6,30,18,21,9,0.6538461538461539,0.625,0.7692307692307693,0.6896551724137931,0.6538461538461539
65,10,12,2,30,13,22,7,0.7222222222222222,0.6976744186046512,0.8108108108108109,0.75,0.7196911196911198
70,10,12,2,28,17,17,5,0.6716417910447762,0.6222222222222222,0.8484848484848485,0.717948717948718,0.6742424242424243
75,10,17,7,22,14,18,9,0.6349206349206349,0.6111111111111112,0.7096774193548387,0.6567164179104478,0.6360887096774194
80,10,16,6,22,11,18,8,0.6779661016949152,0.6666666666666666,0.7333333333333333,0.6984126984126984,0.6770114942528735
85,10,10,0,20,15,14,6,0.6181818181818182,0.5714285714285714,0.7692307692307693,0.6557377049180327,0.6259946949602122
90,10,13,3,19,8,18,7,0.7115384615384616,0.7037037037037037,0.7307692307692307,0.7169811320754716,0.7115384615384615
