Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,14,46,32,273,87,454,125,0.7742279020234292,0.7583333333333333,0.6859296482412061,0.7203166226912929,0.7625581697767952
10,14,34,20,131,48,223,68,0.7531914893617021,0.7318435754189944,0.6582914572864321,0.6931216931216931,0.74058484303436
15,14,32,18,105,43,139,26,0.7795527156549521,0.7094594594594594,0.8015267175572519,0.7526881720430108,0.7826314906467577
20,12,30,18,82,45,90,18,0.7319148936170212,0.6456692913385826,0.82,0.7224669603524229,0.7433333333333333
25,11,25,14,63,21,86,18,0.7925531914893617,0.75,0.7777777777777778,0.7636363636363637,0.7907580477673936
30,12,25,13,55,26,65,11,0.7643312101910829,0.6790123456790124,0.8333333333333334,0.7482993197278912,0.7738095238095238
35,10,27,17,44,23,53,15,0.7185185185185186,0.6567164179104478,0.7457627118644068,0.6984126984126984,0.7215655664585192
40,10,26,16,36,22,45,15,0.6864406779661016,0.6206896551724138,0.7058823529411765,0.6605504587155964,0.6887620719929763
45,12,19,7,32,9,52,12,0.8,0.7804878048780488,0.7272727272727273,0.7529411764705882,0.7898658718330849
50,11,24,13,29,20,35,10,0.6808510638297872,0.5918367346938775,0.7435897435897436,0.6590909090909091,0.6899766899766899
55,12,20,8,25,12,40,9,0.7558139534883721,0.6756756756756757,0.7352941176470589,0.704225352112676,0.752262443438914
60,10,18,8,25,13,30,11,0.6962025316455697,0.6578947368421053,0.6944444444444444,0.6756756756756757,0.6960594315245479
