Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,11,36,25,401,241,253,40,0.6994652406417112,0.6246105919003115,0.909297052154195,0.7405355493998154,0.7107214005710246
10,11,32,21,195,124,123,26,0.6794871794871795,0.6112852664576802,0.8823529411764706,0.7222222222222222,0.6901643248392474
15,11,27,16,128,79,87,18,0.6891025641025641,0.6183574879227053,0.8767123287671232,0.7252124645892352,0.7004043571546459
20,10,27,17,93,61,62,18,0.6623931623931624,0.6038961038961039,0.8378378378378378,0.7018867924528301,0.6709514392441221
25,11,25,14,74,47,53,13,0.679144385026738,0.6115702479338843,0.8505747126436781,0.7115384615384616,0.690287356321839
30,11,23,12,64,43,39,10,0.6602564102564102,0.5981308411214953,0.8648648648648649,0.7071823204419889,0.6702373104812129
35,10,24,14,53,37,36,8,0.664179104477612,0.5888888888888889,0.8688524590163934,0.7019867549668874,0.6810015719739502
40,10,17,7,47,30,32,8,0.6752136752136753,0.6103896103896104,0.8545454545454545,0.7121212121212122,0.6853372434017595
45,10,19,9,43,22,31,8,0.7115384615384616,0.6615384615384615,0.8431372549019608,0.7413793103448276,0.7140214576396596
50,11,19,8,36,21,28,9,0.6808510638297872,0.631578947368421,0.8,0.7058823529411765,0.6857142857142857
55,11,18,7,33,19,27,6,0.7058823529411765,0.6346153846153846,0.8461538461538461,0.7252747252747253,0.7165551839464883
60,10,15,5,34,21,18,5,0.6666666666666666,0.6181818181818182,0.8717948717948718,0.723404255319149,0.6666666666666667
65,10,12,2,30,15,23,4,0.7361111111111112,0.6666666666666666,0.8823529411764706,0.759493670886076,0.7438080495356036
70,10,11,1,28,24,12,3,0.5970149253731343,0.5384615384615384,0.9032258064516129,0.6746987951807228,0.6182795698924731
75,11,13,2,24,18,16,5,0.6349206349206349,0.5714285714285714,0.8275862068965517,0.676056338028169,0.6490872210953347
80,10,11,1,25,20,10,4,0.5932203389830508,0.5555555555555556,0.8620689655172413,0.6756756756756757,0.5977011494252873
