Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,42,42,0,336,605,0,0.6429330499468651,0.0,0.0,0.0,0.6429330499468651
10,0,43,43,0,176,295,0,0.6263269639065817,0.0,0.0,0.0,0.6263269639065817
15,0,34,34,0,106,208,0,0.6624203821656051,0.0,0.0,0.0,0.6624203821656051
20,0,34,34,0,93,143,0,0.6059322033898306,0.0,0.0,0.0,0.6059322033898306
25,0,31,31,0,73,116,0,0.6137566137566137,0.0,0.0,0.0,0.6137566137566137
30,0,30,30,0,57,100,0,0.6369426751592356,0.0,0.0,0.0,0.6369426751592356
35,0,30,30,0,62,73,0,0.5407407407407407,0.0,0.0,0.0,0.5407407407407407
40,0,24,24,0,48,70,0,0.5932203389830508,0.0,0.0,0.0,0.5932203389830508
45,0,23,23,0,38,67,0,0.638095238095238,0.0,0.0,0.0,0.638095238095238
50,0,24,24,0,40,55,0,0.5789473684210527,0.0,0.0,0.0,0.5789473684210527
