Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,52,52,0,535,398,0,0.4265809217577706,0.0,0.0,0.0,0.4265809217577706
10,0,40,40,0,267,200,0,0.4282655246252677,0.0,0.0,0.0,0.4282655246252677
15,0,39,39,0,177,134,0,0.43086816720257237,0.0,0.0,0.0,0.43086816720257237
20,0,39,39,0,146,88,0,0.37606837606837606,0.0,0.0,0.0,0.37606837606837606
25,0,31,31,0,97,90,0,0.48128342245989303,0.0,0.0,0.0,0.48128342245989303
30,0,23,23,0,91,65,0,0.4166666666666667,0.0,0.0,0.0,0.4166666666666667
35,0,21,21,0,83,51,0,0.3805970149253731,0.0,0.0,0.0,0.3805970149253731
40,0,24,24,0,62,55,0,0.4700854700854701,0.0,0.0,0.0,0.4700854700854701
45,0,18,18,0,64,40,0,0.38461538461538464,0.0,0.0,0.0,0.38461538461538464
50,0,18,18,0,55,39,0,0.4148936170212766,0.0,0.0,0.0,0.4148936170212766
55,0,20,20,0,42,43,0,0.5058823529411764,0.0,0.0,0.0,0.5058823529411764
60,0,20,20,0,48,30,0,0.38461538461538464,0.0,0.0,0.0,0.38461538461538464
65,0,16,16,0,36,36,0,0.5,0.0,0.0,0.0,0.5
70,0,11,11,0,43,24,0,0.3582089552238806,0.0,0.0,0.0,0.3582089552238806
75,0,15,15,0,40,23,0,0.36507936507936506,0.0,0.0,0.0,0.36507936507936506
80,0,13,13,0,41,18,0,0.3050847457627119,0.0,0.0,0.0,0.3050847457627119
85,0,10,10,0,36,19,0,0.34545454545454546,0.0,0.0,0.0,0.34545454545454546
90,0,12,12,0,27,25,0,0.4807692307692308,0.0,0.0,0.0,0.4807692307692308
