Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,94,94,0,590,341,0,0.36627282491944146,0.0,0.0,0.0,0.36627282491944146
10,0,70,70,0,254,212,0,0.45493562231759654,0.0,0.0,0.0,0.45493562231759654
15,0,54,54,0,144,167,0,0.5369774919614148,0.0,0.0,0.0,0.5369774919614148
20,0,35,35,0,155,78,0,0.33476394849785407,0.0,0.0,0.0,0.33476394849785407
25,0,25,25,0,107,80,0,0.42780748663101603,0.0,0.0,0.0,0.42780748663101603
30,0,13,13,0,112,44,0,0.28205128205128205,0.0,0.0,0.0,0.28205128205128205
35,0,19,19,0,69,64,0,0.48120300751879697,0.0,0.0,0.0,0.48120300751879697
40,0,23,23,0,69,48,0,0.41025641025641024,0.0,0.0,0.0,0.41025641025641024
45,0,19,19,0,52,52,0,0.5,0.0,0.0,0.0,0.5
50,0,15,15,0,52,42,0,0.44680851063829785,0.0,0.0,0.0,0.44680851063829785
55,0,16,16,0,48,37,0,0.43529411764705883,0.0,0.0,0.0,0.43529411764705883
60,0,18,18,0,34,44,0,0.5641025641025641,0.0,0.0,0.0,0.5641025641025641
65,0,15,15,0,23,49,0,0.6805555555555556,0.0,0.0,0.0,0.6805555555555556
70,0,13,13,0,46,21,0,0.31343283582089554,0.0,0.0,0.0,0.31343283582089554
75,0,9,9,0,44,19,0,0.30158730158730157,0.0,0.0,0.0,0.30158730158730157
80,0,14,14,0,34,25,0,0.423728813559322,0.0,0.0,0.0,0.423728813559322
85,0,11,11,0,16,39,0,0.7090909090909091,0.0,0.0,0.0,0.7090909090909091
90,0,11,11,0,29,23,0,0.4423076923076923,0.0,0.0,0.0,0.4423076923076923
95,0,12,12,0,17,32,0,0.6530612244897959,0.0,0.0,0.0,0.6530612244897959
100,0,10,10,0,23,24,0,0.5106382978723404,0.0,0.0,0.0,0.5106382978723404
