Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,14,14,0,473,0,462,0,1.0,1.0,1.0,1.0,1.0
10,14,14,0,237,0,231,0,1.0,1.0,1.0,1.0,1.0
15,14,14,0,159,0,153,0,1.0,1.0,1.0,1.0,1.0
20,14,14,0,119,0,115,0,1.0,1.0,1.0,1.0,1.0
25,13,13,0,95,0,92,0,1.0,1.0,1.0,1.0,1.0
30,14,14,0,79,0,75,2,0.9871794871794872,1.0,0.9753086419753086,0.9875,0.9876543209876543
35,13,13,0,67,0,67,0,1.0,1.0,1.0,1.0,1.0
40,13,13,0,62,0,55,0,1.0,1.0,1.0,1.0,1.0
45,13,13,0,52,0,52,0,1.0,1.0,1.0,1.0,1.0
50,13,13,0,49,0,45,0,1.0,1.0,1.0,1.0,1.0
55,14,14,0,43,0,42,0,1.0,1.0,1.0,1.0,1.0
60,13,13,0,38,0,39,1,0.9871794871794872,1.0,0.9743589743589743,0.987012987012987,0.9871794871794872
65,13,14,1,35,0,35,2,0.9722222222222222,1.0,0.9459459459459459,0.9722222222222222,0.972972972972973
70,13,13,0,33,0,34,0,1.0,1.0,1.0,1.0,1.0
75,12,12,0,32,0,29,2,0.9682539682539683,1.0,0.9411764705882353,0.9696969696969697,0.9705882352941176
80,12,13,1,28,0,28,3,0.9491525423728814,1.0,0.9032258064516129,0.9491525423728814,0.9516129032258065
