Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,10,38,28,369,165,302,97,0.7191854233654876,0.6910112359550562,0.7918454935622318,0.738,0.719263217873193
10,10,32,22,183,89,144,51,0.7002141327623126,0.6727941176470589,0.782051282051282,0.7233201581027668,0.7000385165621217
15,10,25,15,121,56,100,34,0.7106109324758842,0.6836158192090396,0.7806451612903226,0.7289156626506024,0.7108354011579818
20,10,24,14,92,45,72,25,0.7008547008547008,0.6715328467153284,0.7863247863247863,0.7244094488188977,0.7008547008547008
25,10,27,17,76,38,55,18,0.7005347593582888,0.6666666666666666,0.8085106382978723,0.7307692307692307,0.699954243880119
30,10,20,10,59,28,48,21,0.6858974358974359,0.6781609195402298,0.7375,0.7065868263473054,0.6845394736842105
35,10,19,9,52,25,42,15,0.7014925373134329,0.6753246753246753,0.7761194029850746,0.7222222222222222,0.7014925373134329
40,10,23,13,48,25,35,9,0.7094017094017094,0.6575342465753424,0.8421052631578947,0.7384615384615385,0.7127192982456141
45,10,18,8,36,20,32,16,0.6538461538461539,0.6428571428571429,0.6923076923076923,0.6666666666666666,0.6538461538461539
50,10,19,9,38,19,27,10,0.6914893617021277,0.6666666666666666,0.7916666666666666,0.7238095238095238,0.6893115942028986
55,10,16,6,35,16,27,7,0.7294117647058823,0.6862745098039216,0.8333333333333334,0.7526881720430108,0.7306201550387597
60,10,17,7,31,18,21,8,0.6666666666666666,0.6326530612244898,0.7948717948717948,0.7045454545454546,0.6666666666666666
65,10,14,4,30,19,16,7,0.6388888888888888,0.6122448979591837,0.8108108108108109,0.6976744186046512,0.633976833976834
70,10,15,5,25,15,18,9,0.6417910447761194,0.625,0.7352941176470589,0.6756756756756757,0.6403743315508021
75,10,15,5,26,13,17,7,0.6825396825396826,0.6666666666666666,0.7878787878787878,0.7222222222222222,0.6772727272727272
80,10,10,0,28,14,15,2,0.7288135593220338,0.6666666666666666,0.9333333333333333,0.7777777777777778,0.7252873563218392
85,10,11,1,19,12,16,8,0.6363636363636364,0.6129032258064516,0.7037037037037037,0.6551724137931034,0.6375661375661376
90,10,11,1,22,12,14,4,0.6923076923076923,0.6470588235294118,0.8461538461538461,0.7333333333333333,0.6923076923076923
