Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,17,41,24,234,69,468,166,0.7491995731056563,0.7722772277227723,0.585,0.6657183499288762,0.728254189944134
10,17,34,17,120,36,229,84,0.744136460554371,0.7692307692307693,0.5882352941176471,0.6666666666666666,0.7261931187569368
15,17,27,10,76,25,156,56,0.7412140575079872,0.7524752475247525,0.5757575757575758,0.6523605150214592,0.7188180143981249
20,17,24,7,59,22,109,45,0.7148936170212766,0.7283950617283951,0.5673076923076923,0.6378378378378379,0.6996843805049913
25,15,24,9,42,18,91,37,0.7074468085106383,0.7,0.5316455696202531,0.60431654676259,0.683253977470677
30,16,21,5,39,15,75,28,0.7261146496815286,0.7222222222222222,0.582089552238806,0.6446280991735537,0.7077114427860697
35,15,21,6,32,18,60,24,0.6865671641791045,0.64,0.5714285714285714,0.6037735849056604,0.6703296703296704
40,15,21,6,29,14,49,26,0.6610169491525424,0.6744186046511628,0.5272727272727272,0.5918367346938775,0.6525252525252525
45,14,18,4,20,13,45,27,0.6190476190476191,0.6060606060606061,0.425531914893617,0.5,0.6006969919295672
50,13,20,7,23,12,40,19,0.6702127659574468,0.6571428571428571,0.5476190476190477,0.5974025974025974,0.6584249084249085
55,15,14,-1,14,13,37,22,0.5930232558139535,0.5185185185185185,0.3888888888888889,0.4444444444444444,0.5644444444444444
60,14,15,1,17,17,26,19,0.5443037974683544,0.5,0.4722222222222222,0.4857142857142857,0.5384366925064599
65,15,15,0,13,5,38,17,0.6986301369863014,0.7222222222222222,0.43333333333333335,0.5416666666666666,0.6585271317829458
70,13,12,-1,14,9,27,17,0.6119402985074627,0.6086956521739131,0.45161290322580644,0.5185185185185185,0.6008064516129032
