teste,modelo,falha,janela,passo_cfg,passo_real,amostras_treino,amostras_teste,positivos_treino,negativos_treino,positivos_teste,negativos_teste,eventos_reais_teste,eventos_detectados,diferenca_eventos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,specificity,tn,fp,fn,tp,path_cm,path_eventos
sem_erro,catboost,lacuna,20,5,5,947,947,268,679,0,947,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999989441,947,0,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_5\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_5_sem_erro_catboost_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_5\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_5_sem_erro_catboost_lacuna_jan20_passo5_eventos.png
sem_erro,catboost,oscilacao,100,100,100,47,47,27,20,0,47,0,12,12,0.6382978723404256,0.6382978723404256,0.0,0.0,0.0,0.6382978723268448,30,17,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_5\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_5_sem_erro_catboost_oscilacao_jan100_passo100_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_5\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_5_sem_erro_catboost_oscilacao_jan100_passo100_eventos.png
sem_erro,catboost,queda,100,80,80,59,59,27,32,0,59,0,8,8,0.7288135593220338,0.7288135593220338,0.0,0.0,0.0,0.7288135593096812,43,16,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_5\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_5_sem_erro_catboost_queda_jan100_passo80_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_5\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_5_sem_erro_catboost_queda_jan100_passo80_eventos.png
sem_erro,mlp,lacuna,20,5,5,947,947,268,679,0,947,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999989441,947,0,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_5\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_5_sem_erro_mlp_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_5\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_5_sem_erro_mlp_lacuna_jan20_passo5_eventos.png
sem_erro,mlp,oscilacao,40,35,35,135,135,64,71,0,135,0,10,10,0.9037037037037037,0.9037037037037037,0.0,0.0,0.0,0.9037037036970097,122,13,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_5\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_5_sem_erro_mlp_oscilacao_jan40_passo35_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_5\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_5_sem_erro_mlp_oscilacao_jan40_passo35_eventos.png
sem_erro,mlp,queda,20,20,20,237,237,56,181,0,237,0,11,11,0.9409282700421941,0.9409282700421941,0.0,0.0,0.0,0.940928270038224,223,14,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_5\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_5_sem_erro_mlp_queda_jan20_passo20_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_5\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_5_sem_erro_mlp_queda_jan20_passo20_eventos.png
sem_erro,random_forest,lacuna,20,5,5,947,947,268,679,0,947,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999989441,947,0,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_5\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_5_sem_erro_random_forest_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_5\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_5_sem_erro_random_forest_lacuna_jan20_passo5_eventos.png
sem_erro,random_forest,oscilacao,20,15,15,316,316,127,189,0,316,0,17,17,0.9208860759493671,0.9208860759493671,0.0,0.0,0.0,0.9208860759464529,291,25,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_5\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_5_sem_erro_random_forest_oscilacao_jan20_passo15_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_5\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_5_sem_erro_random_forest_oscilacao_jan20_passo15_eventos.png
sem_erro,random_forest,queda,60,60,60,79,79,30,49,0,79,0,11,11,0.7974683544303798,0.7974683544303798,0.0,0.0,0.0,0.7974683544202852,63,16,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_5\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_5_sem_erro_random_forest_queda_jan60_passo60_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_5\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_5_sem_erro_random_forest_queda_jan60_passo60_eventos.png
sem_erro,xgboost,lacuna,20,5,5,947,947,268,679,0,947,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999989441,947,0,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_5\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_5_sem_erro_xgboost_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_5\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_5_sem_erro_xgboost_lacuna_jan20_passo5_eventos.png
sem_erro,xgboost,oscilacao,100,100,100,47,47,27,20,0,47,0,11,11,0.44680851063829785,0.44680851063829785,0.0,0.0,0.0,0.44680851062879134,21,26,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_5\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_5_sem_erro_xgboost_oscilacao_jan100_passo100_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_5\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_5_sem_erro_xgboost_oscilacao_jan100_passo100_eventos.png
sem_erro,xgboost,queda,100,80,80,59,59,27,32,0,59,0,9,9,0.4745762711864407,0.4745762711864407,0.0,0.0,0.0,0.474576271178397,28,31,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_5\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_5_sem_erro_xgboost_queda_jan100_passo80_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Temperatura\rodada_5\sem_erro\Temperatura_20231007_0000_to_20231109_0000_rodada_5_sem_erro_xgboost_queda_jan100_passo80_eventos.png
