Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,54,54,0,268,671,0,0.7145899893503728,0.0,0.0,0.0,0.7145899893503728
10,0,27,27,0,103,367,0,0.7808510638297872,0.0,0.0,0.0,0.7808510638297872
15,0,28,28,0,76,237,0,0.7571884984025559,0.0,0.0,0.0,0.7571884984025559
20,0,26,26,0,81,154,0,0.6553191489361702,0.0,0.0,0.0,0.6553191489361702
25,0,26,26,0,58,130,0,0.6914893617021277,0.0,0.0,0.0,0.6914893617021277
30,0,20,20,0,29,128,0,0.8152866242038217,0.0,0.0,0.0,0.8152866242038217
35,0,26,26,0,32,103,0,0.762962962962963,0.0,0.0,0.0,0.762962962962963
40,0,22,22,0,35,83,0,0.7033898305084746,0.0,0.0,0.0,0.7033898305084746
45,0,22,22,0,28,77,0,0.7333333333333333,0.0,0.0,0.0,0.7333333333333333
50,0,18,18,0,21,73,0,0.776595744680851,0.0,0.0,0.0,0.776595744680851
55,0,20,20,0,22,64,0,0.7441860465116279,0.0,0.0,0.0,0.7441860465116279
60,0,20,20,0,24,55,0,0.6962025316455697,0.0,0.0,0.0,0.6962025316455697
