Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,47,47,0,414,519,0,0.5562700964630225,0.0,0.0,0.0,0.5562700964630225
10,0,40,40,0,195,272,0,0.582441113490364,0.0,0.0,0.0,0.582441113490364
15,0,38,38,0,134,177,0,0.5691318327974276,0.0,0.0,0.0,0.5691318327974276
20,0,34,34,0,91,143,0,0.6111111111111112,0.0,0.0,0.0,0.6111111111111112
25,0,26,26,0,85,102,0,0.5454545454545454,0.0,0.0,0.0,0.5454545454545454
30,0,26,26,0,78,78,0,0.5,0.0,0.0,0.0,0.5
35,0,22,22,0,75,59,0,0.44029850746268656,0.0,0.0,0.0,0.44029850746268656
40,0,17,17,0,41,76,0,0.6495726495726496,0.0,0.0,0.0,0.6495726495726496
45,0,21,21,0,45,59,0,0.5673076923076923,0.0,0.0,0.0,0.5673076923076923
50,0,17,17,0,35,59,0,0.6276595744680851,0.0,0.0,0.0,0.6276595744680851
55,0,18,18,0,35,50,0,0.5882352941176471,0.0,0.0,0.0,0.5882352941176471
60,0,20,20,0,36,42,0,0.5384615384615384,0.0,0.0,0.0,0.5384615384615384
65,0,18,18,0,32,40,0,0.5555555555555556,0.0,0.0,0.0,0.5555555555555556
70,0,15,15,0,30,37,0,0.5522388059701493,0.0,0.0,0.0,0.5522388059701493
75,0,12,12,0,32,31,0,0.49206349206349204,0.0,0.0,0.0,0.49206349206349204
80,0,15,15,0,25,34,0,0.576271186440678,0.0,0.0,0.0,0.576271186440678
85,0,10,10,0,34,21,0,0.38181818181818183,0.0,0.0,0.0,0.38181818181818183
90,0,15,15,0,23,29,0,0.5576923076923077,0.0,0.0,0.0,0.5576923076923077
