Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,19,19,0,365,0,576,0,1.0,1.0,1.0,1.0,1.0
10,18,18,0,182,0,289,0,1.0,1.0,1.0,1.0,1.0
15,18,18,0,122,0,192,0,1.0,1.0,1.0,1.0,1.0
20,18,18,0,92,0,144,0,1.0,1.0,1.0,1.0,1.0
25,18,18,0,71,0,118,0,1.0,1.0,1.0,1.0,1.0
30,17,17,0,60,0,97,0,1.0,1.0,1.0,1.0,1.0
35,17,17,0,55,0,80,0,1.0,1.0,1.0,1.0,1.0
40,17,17,0,43,0,74,1,0.9915254237288136,1.0,0.9772727272727273,0.9885057471264368,0.9886363636363636
45,17,17,0,38,0,67,0,1.0,1.0,1.0,1.0,1.0
50,18,18,0,34,0,61,0,1.0,1.0,1.0,1.0,1.0
