Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,14,109,95,293,265,249,126,0.5809217577706324,0.525089605734767,0.6992840095465394,0.5997952917093142,0.5918599036059545
10,14,37,23,26,21,237,183,0.563169164882227,0.5531914893617021,0.12440191387559808,0.203125,0.5215032825191944
15,13,52,39,79,84,88,60,0.5369774919614148,0.48466257668711654,0.5683453237410072,0.5231788079470199,0.5399866153588757
20,14,26,12,85,95,33,21,0.5042735042735043,0.4722222222222222,0.8018867924528302,0.5944055944055944,0.5298496462264151
25,13,37,24,36,33,71,47,0.5721925133689839,0.5217391304347826,0.43373493975903615,0.47368421052631576,0.558213623725672
30,13,28,15,31,31,57,37,0.5641025641025641,0.5,0.45588235294117646,0.47692307692307695,0.5518048128342246
35,13,28,15,23,22,54,35,0.5746268656716418,0.5111111111111111,0.39655172413793105,0.44660194174757284,0.5535390199637024
40,13,25,12,29,17,47,24,0.6495726495726496,0.6304347826086957,0.5471698113207547,0.5858585858585859,0.6407724056603774
45,12,20,8,17,18,38,31,0.5288461538461539,0.4857142857142857,0.3541666666666667,0.40963855421686746,0.5163690476190477
50,13,21,8,22,15,38,19,0.6382978723404256,0.5945945945945946,0.5365853658536586,0.5641025641025641,0.626783248964565
55,13,14,1,17,10,37,21,0.6352941176470588,0.6296296296296297,0.4473684210526316,0.5230769230769231,0.6173012318029115
60,13,18,5,20,23,21,14,0.5256410256410257,0.46511627906976744,0.5882352941176471,0.5194805194805194,0.5327540106951871
65,12,17,5,10,17,25,20,0.4861111111111111,0.37037037037037035,0.3333333333333333,0.3508771929824561,0.4642857142857143
70,12,19,7,13,16,22,16,0.5223880597014925,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.5136116152450091
75,11,13,2,9,9,26,19,0.5555555555555556,0.5,0.32142857142857145,0.391304347826087,0.5321428571428571
80,11,12,1,14,14,17,14,0.5254237288135594,0.5,0.5,0.5,0.5241935483870968
85,10,13,3,10,8,21,16,0.5636363636363636,0.5555555555555556,0.38461538461538464,0.45454545454545453,0.5543766578249337
90,11,9,-2,7,8,22,15,0.5576923076923077,0.4666666666666667,0.3181818181818182,0.3783783783783784,0.5257575757575758
