evento_id,falha,inicio,fim,duracao_pts
oscilacao_001,oscilacao,2023-10-16 19:30:00,2023-10-17 06:50:00,69.0
oscilacao_002,oscilacao,2023-11-06 00:00:00,2023-11-06 07:50:00,48.0
oscilacao_003,oscilacao,2023-10-24 21:20:00,2023-10-25 07:10:00,60.0
oscilacao_004,oscilacao,2023-11-01 04:20:00,2023-11-01 10:10:00,36.0
oscilacao_005,oscilacao,2023-10-12 06:30:00,2023-10-12 12:30:00,37.0
oscilacao_006,oscilacao,2023-10-15 23:30:00,2023-10-16 09:20:00,60.0
oscilacao_007,oscilacao,2023-10-22 03:40:00,2023-10-22 13:40:00,61.0
oscilacao_008,oscilacao,2023-10-08 02:40:00,2023-10-08 14:00:00,69.0
oscilacao_009,oscilacao,2023-11-02 15:00:00,2023-11-02 22:10:00,44.0
oscilacao_010,oscilacao,2023-11-05 04:50:00,2023-11-05 16:40:00,72.0
oscilacao_011,oscilacao,2023-10-18 12:00:00,2023-10-18 21:20:00,57.0
oscilacao_012,oscilacao,2023-10-24 11:30:00,2023-10-24 21:10:00,59.0
oscilacao_013,oscilacao,2023-10-19 03:30:00,2023-10-19 14:20:00,66.0
oscilacao_014,oscilacao,2023-10-21 12:30:00,2023-10-22 00:10:00,71.0
oscilacao_015,oscilacao,2023-10-11 15:30:00,2023-10-12 01:10:00,59.0
oscilacao_016,oscilacao,2023-11-04 07:20:00,2023-11-04 19:10:00,72.0
oscilacao_017,oscilacao,2023-10-25 15:50:00,2023-10-26 01:40:00,60.0
oscilacao_018,oscilacao,2023-10-12 12:40:00,2023-10-12 21:10:00,52.0
oscilacao_019,oscilacao,2023-10-17 07:00:00,2023-10-17 14:30:00,46.0
oscilacao_020,oscilacao,2023-10-13 03:40:00,2023-10-13 12:40:00,55.0
oscilacao_021,oscilacao,2023-11-07 16:30:00,2023-11-08 02:20:00,60.0
oscilacao_022,oscilacao,2023-10-14 01:20:00,2023-10-14 12:20:00,67.0
oscilacao_023,oscilacao,2023-10-14 18:00:00,2023-10-14 23:50:00,36.0
oscilacao_024,oscilacao,2023-10-21 06:00:00,2023-10-21 12:20:00,39.0
oscilacao_025,oscilacao,2023-10-08 16:50:00,2023-10-09 02:30:00,59.0
oscilacao_026,oscilacao,2023-11-01 10:20:00,2023-11-01 16:40:00,39.0
oscilacao_027,oscilacao,2023-10-29 03:40:00,2023-10-29 09:40:00,37.0
oscilacao_028,oscilacao,2023-11-06 08:00:00,2023-11-06 18:10:00,62.0
oscilacao_029,oscilacao,2023-11-08 06:40:00,2023-11-08 14:50:00,50.0
lacuna_001,lacuna,2023-11-04 02:30:00,2023-11-04 07:10:00,29.0
lacuna_002,lacuna,2023-10-29 10:40:00,2023-10-29 17:50:00,44.0
lacuna_003,lacuna,2023-10-29 19:00:00,2023-10-30 02:00:00,43.0
lacuna_004,lacuna,2023-10-30 02:10:00,2023-10-30 07:00:00,30.0
lacuna_005,lacuna,2023-11-04 19:20:00,2023-11-05 01:20:00,37.0
lacuna_006,lacuna,2023-10-26 01:50:00,2023-10-26 06:50:00,31.0
lacuna_007,lacuna,2023-10-19 16:20:00,2023-10-19 21:10:00,30.0
lacuna_008,lacuna,2023-10-15 13:30:00,2023-10-15 20:50:00,45.0
lacuna_009,lacuna,2023-10-28 09:30:00,2023-10-28 13:30:00,25.0
lacuna_010,lacuna,2023-10-16 09:30:00,2023-10-16 15:30:00,37.0
lacuna_011,lacuna,2023-10-24 03:30:00,2023-10-24 10:40:00,44.0
lacuna_012,lacuna,2023-10-26 09:40:00,2023-10-26 16:20:00,41.0
lacuna_013,lacuna,2023-10-07 10:00:00,2023-10-07 17:20:00,45.0
lacuna_014,lacuna,2023-10-19 21:20:00,2023-10-20 02:10:00,30.0
lacuna_015,lacuna,2023-10-31 20:50:00,2023-11-01 04:10:00,45.0
lacuna_016,lacuna,2023-10-25 07:30:00,2023-10-25 15:20:00,48.0
lacuna_017,lacuna,2023-10-28 21:50:00,2023-10-29 03:30:00,35.0
lacuna_018,lacuna,2023-10-13 12:50:00,2023-10-13 16:50:00,25.0
lacuna_019,lacuna,2023-10-27 23:30:00,2023-10-28 06:10:00,41.0
lacuna_020,lacuna,2023-11-05 16:50:00,2023-11-05 23:30:00,41.0
lacuna_021,lacuna,2023-10-22 15:20:00,2023-10-22 23:10:00,48.0
lacuna_022,lacuna,2023-10-30 21:10:00,2023-10-31 02:00:00,30.0
lacuna_023,lacuna,2023-10-17 21:00:00,2023-10-18 04:50:00,48.0
