Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,33,33,0,376,559,0,0.597860962566845,0.0,0.0,0.0,0.597860962566845
10,0,30,30,0,185,283,0,0.6047008547008547,0.0,0.0,0.0,0.6047008547008547
15,0,25,25,0,122,190,0,0.6089743589743589,0.0,0.0,0.0,0.6089743589743589
20,0,23,23,0,97,137,0,0.5854700854700855,0.0,0.0,0.0,0.5854700854700855
25,0,26,26,0,87,100,0,0.5347593582887701,0.0,0.0,0.0,0.5347593582887701
30,0,18,18,0,56,100,0,0.6410256410256411,0.0,0.0,0.0,0.6410256410256411
35,0,19,19,0,53,81,0,0.6044776119402985,0.0,0.0,0.0,0.6044776119402985
40,0,23,23,0,50,67,0,0.5726495726495726,0.0,0.0,0.0,0.5726495726495726
45,0,20,20,0,50,54,0,0.5192307692307693,0.0,0.0,0.0,0.5192307692307693
50,0,17,17,0,47,47,0,0.5,0.0,0.0,0.0,0.5
55,0,17,17,0,43,42,0,0.49411764705882355,0.0,0.0,0.0,0.49411764705882355
60,0,14,14,0,40,38,0,0.48717948717948717,0.0,0.0,0.0,0.48717948717948717
65,0,16,16,0,33,39,0,0.5416666666666666,0.0,0.0,0.0,0.5416666666666666
70,0,18,18,0,31,36,0,0.5373134328358209,0.0,0.0,0.0,0.5373134328358209
75,0,17,17,0,41,22,0,0.3492063492063492,0.0,0.0,0.0,0.3492063492063492
80,0,11,11,0,32,27,0,0.4576271186440678,0.0,0.0,0.0,0.4576271186440678
