evento_id,falha,inicio,fim,duracao_pts
oscilacao_001,oscilacao,2023-11-04 22:50:00,2023-11-05 07:30:00,53.0
oscilacao_002,oscilacao,2023-10-14 13:50:00,2023-10-14 20:50:00,43.0
oscilacao_003,oscilacao,2023-11-03 01:50:00,2023-11-03 08:00:00,38.0
oscilacao_004,oscilacao,2023-10-11 04:10:00,2023-10-11 10:00:00,36.0
oscilacao_005,oscilacao,2023-11-05 12:30:00,2023-11-05 23:40:00,68.0
oscilacao_006,oscilacao,2023-10-14 03:30:00,2023-10-14 13:40:00,62.0
oscilacao_007,oscilacao,2023-10-15 02:40:00,2023-10-15 10:40:00,49.0
oscilacao_008,oscilacao,2023-11-03 08:10:00,2023-11-03 16:50:00,53.0
oscilacao_009,oscilacao,2023-11-02 18:10:00,2023-11-03 01:40:00,46.0
oscilacao_010,oscilacao,2023-10-20 07:10:00,2023-10-20 18:10:00,67.0
oscilacao_011,oscilacao,2023-10-09 08:30:00,2023-10-09 14:30:00,37.0
oscilacao_012,oscilacao,2023-10-19 09:50:00,2023-10-19 19:00:00,56.0
oscilacao_013,oscilacao,2023-10-10 02:50:00,2023-10-10 14:30:00,71.0
oscilacao_014,oscilacao,2023-10-09 14:40:00,2023-10-09 20:30:00,36.0
oscilacao_015,oscilacao,2023-10-30 22:00:00,2023-10-31 03:50:00,36.0
oscilacao_016,oscilacao,2023-10-27 10:30:00,2023-10-27 17:00:00,40.0
oscilacao_017,oscilacao,2023-10-11 10:50:00,2023-10-11 20:00:00,56.0
oscilacao_018,oscilacao,2023-11-03 22:50:00,2023-11-04 09:20:00,64.0
oscilacao_019,oscilacao,2023-10-27 17:10:00,2023-10-28 04:10:00,67.0
oscilacao_020,oscilacao,2023-10-19 00:50:00,2023-10-19 09:40:00,54.0
oscilacao_021,oscilacao,2023-10-23 13:40:00,2023-10-23 20:30:00,42.0
oscilacao_022,oscilacao,2023-11-01 04:50:00,2023-11-01 15:20:00,64.0
oscilacao_023,oscilacao,2023-11-07 23:10:00,2023-11-08 10:10:00,67.0
oscilacao_024,oscilacao,2023-10-13 11:00:00,2023-10-13 21:00:00,61.0
lacuna_001,lacuna,2023-10-28 14:20:00,2023-10-28 19:10:00,30.0
lacuna_002,lacuna,2023-10-09 20:40:00,2023-10-10 01:50:00,32.0
lacuna_003,lacuna,2023-10-29 15:40:00,2023-10-29 22:50:00,44.0
lacuna_004,lacuna,2023-10-25 02:10:00,2023-10-25 06:00:00,24.0
lacuna_005,lacuna,2023-10-21 04:30:00,2023-10-21 11:20:00,42.0
lacuna_006,lacuna,2023-10-16 00:40:00,2023-10-16 05:00:00,27.0
lacuna_007,lacuna,2023-10-15 17:40:00,2023-10-16 00:20:00,41.0
