Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,18,35,17,161,76,437,263,0.6382070437566703,0.679324894514768,0.37971698113207547,0.48714069591527986,0.6157844164919637
10,17,29,12,76,33,226,134,0.6439232409381663,0.6972477064220184,0.3619047619047619,0.47648902821316613,0.6172458172458173
15,17,24,7,45,18,153,97,0.6325878594249201,0.7142857142857143,0.31690140845070425,0.43902439024390244,0.6058191252779836
20,17,21,4,33,14,116,72,0.6340425531914894,0.7021276595744681,0.3142857142857143,0.4342105263157895,0.6032967032967034
25,16,19,3,28,8,96,56,0.6595744680851063,0.7777777777777778,0.3333333333333333,0.4666666666666667,0.6282051282051282
30,15,17,2,18,13,75,51,0.5923566878980892,0.5806451612903226,0.2608695652173913,0.36,0.5565711462450593
35,16,15,-1,19,8,68,39,0.6492537313432836,0.7037037037037037,0.3275862068965517,0.4470588235294118,0.6111615245009074
40,17,14,-3,16,9,58,35,0.6271186440677966,0.64,0.3137254901960784,0.42105263157894735,0.5896985659935616
45,13,10,-3,11,5,53,36,0.6095238095238096,0.6875,0.23404255319148937,0.3492063492063492,0.5739178283198827
50,14,15,1,9,7,47,31,0.5957446808510638,0.5625,0.225,0.32142857142857145,0.5476851851851852
55,14,5,-9,5,1,47,33,0.6046511627906976,0.8333333333333334,0.13157894736842105,0.22727272727272727,0.5553728070175439
60,13,10,-3,6,7,36,30,0.5316455696202531,0.46153846153846156,0.16666666666666666,0.24489795918367346,0.501937984496124
65,14,8,-6,7,5,35,26,0.5753424657534246,0.5833333333333334,0.21212121212121213,0.3111111111111111,0.5435606060606061
70,16,8,-8,10,2,41,14,0.7611940298507462,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.685077519379845
