Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,0,0,0,0,933,0,1.0,0.0,0.0,0.0,1.0
10,0,1,1,0,1,466,0,0.9978586723768736,0.0,0.0,0.0,0.9978586723768736
15,0,0,0,0,0,311,0,1.0,0.0,0.0,0.0,1.0
20,0,0,0,0,0,234,0,1.0,0.0,0.0,0.0,1.0
25,0,0,0,0,0,187,0,1.0,0.0,0.0,0.0,1.0
30,0,0,0,0,0,156,0,1.0,0.0,0.0,0.0,1.0
35,0,1,1,0,1,133,0,0.9925373134328358,0.0,0.0,0.0,0.9925373134328358
40,0,0,0,0,0,117,0,1.0,0.0,0.0,0.0,1.0
45,0,1,1,0,1,103,0,0.9903846153846154,0.0,0.0,0.0,0.9903846153846154
50,0,3,3,0,4,90,0,0.9574468085106383,0.0,0.0,0.0,0.9574468085106383
55,0,0,0,0,0,85,0,1.0,0.0,0.0,0.0,1.0
60,0,0,0,0,0,78,0,1.0,0.0,0.0,0.0,1.0
65,0,1,1,0,1,71,0,0.9861111111111112,0.0,0.0,0.0,0.9861111111111112
70,0,1,1,0,1,66,0,0.9850746268656716,0.0,0.0,0.0,0.9850746268656716
75,0,1,1,0,1,62,0,0.9841269841269841,0.0,0.0,0.0,0.9841269841269841
80,0,2,2,0,2,57,0,0.9661016949152542,0.0,0.0,0.0,0.9661016949152542
85,0,2,2,0,2,53,0,0.9636363636363636,0.0,0.0,0.0,0.9636363636363636
90,0,6,6,0,6,46,0,0.8846153846153846,0.0,0.0,0.0,0.8846153846153846
