Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,90,90,0,435,500,0,0.5347593582887701,0.0,0.0,0.0,0.5347593582887701
10,0,41,41,0,379,89,0,0.19017094017094016,0.0,0.0,0.0,0.19017094017094016
15,0,61,61,0,160,152,0,0.48717948717948717,0.0,0.0,0.0,0.48717948717948717
20,0,21,21,0,196,38,0,0.1623931623931624,0.0,0.0,0.0,0.1623931623931624
25,0,33,33,0,87,100,0,0.5347593582887701,0.0,0.0,0.0,0.5347593582887701
30,0,28,28,0,85,71,0,0.4551282051282051,0.0,0.0,0.0,0.4551282051282051
35,0,20,20,0,90,44,0,0.3283582089552239,0.0,0.0,0.0,0.3283582089552239
40,0,27,27,0,41,76,0,0.6495726495726496,0.0,0.0,0.0,0.6495726495726496
45,0,25,25,0,50,54,0,0.5192307692307693,0.0,0.0,0.0,0.5192307692307693
50,0,18,18,0,33,61,0,0.648936170212766,0.0,0.0,0.0,0.648936170212766
55,0,16,16,0,29,56,0,0.6588235294117647,0.0,0.0,0.0,0.6588235294117647
60,0,21,21,0,40,38,0,0.48717948717948717,0.0,0.0,0.0,0.48717948717948717
65,0,17,17,0,31,41,0,0.5694444444444444,0.0,0.0,0.0,0.5694444444444444
70,0,15,15,0,26,41,0,0.6119402985074627,0.0,0.0,0.0,0.6119402985074627
75,0,17,17,0,22,41,0,0.6507936507936508,0.0,0.0,0.0,0.6507936507936508
80,0,14,14,0,21,38,0,0.6440677966101694,0.0,0.0,0.0,0.6440677966101694
