Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,14,66,52,288,111,525,15,0.865814696485623,0.7218045112781954,0.9504950495049505,0.8205128205128205,0.887983373809079
10,14,35,21,142,44,275,9,0.8872340425531915,0.7634408602150538,0.9403973509933775,0.8427299703264095,0.9012331582553095
15,13,22,9,87,11,200,15,0.9169329073482428,0.8877551020408163,0.8529411764705882,0.87,0.9004042375243937
20,13,16,3,66,3,157,9,0.948936170212766,0.9565217391304348,0.88,0.9166666666666666,0.930625
25,13,22,9,56,11,119,2,0.9308510638297872,0.835820895522388,0.9655172413793104,0.896,0.9404509283819629
30,13,16,3,42,4,100,11,0.9044585987261147,0.9130434782608695,0.7924528301886793,0.8484848484848485,0.8769956458635704
35,14,17,3,35,3,89,8,0.9185185185185185,0.9210526315789473,0.813953488372093,0.8641975308641975,0.8906723963599595
40,13,16,3,35,5,73,5,0.9152542372881356,0.875,0.875,0.875,0.905448717948718
45,13,17,4,28,8,63,6,0.8666666666666667,0.7777777777777778,0.8235294117647058,0.8,0.8554266777133388
50,13,17,4,26,6,58,4,0.8936170212765957,0.8125,0.8666666666666667,0.8387096774193549,0.8864583333333333
55,13,14,1,25,8,50,3,0.872093023255814,0.7575757575757576,0.8928571428571429,0.819672131147541,0.8774630541871922
60,13,16,3,21,8,43,7,0.810126582278481,0.7241379310344828,0.75,0.7368421052631579,0.7965686274509804
