Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,14,14,0,351,0,584,0,1.0,1.0,1.0,1.0,1.0
10,14,14,0,175,0,293,0,1.0,1.0,1.0,1.0,1.0
15,13,13,0,119,0,193,0,1.0,1.0,1.0,1.0,1.0
20,13,13,0,87,0,147,0,1.0,1.0,1.0,1.0,1.0
25,13,13,0,69,0,118,0,1.0,1.0,1.0,1.0,1.0
30,13,13,0,62,0,94,0,1.0,1.0,1.0,1.0,1.0
35,13,13,0,50,0,83,1,0.9925373134328358,1.0,0.9803921568627451,0.9900990099009901,0.9901960784313726
40,13,13,0,44,0,73,0,1.0,1.0,1.0,1.0,1.0
45,12,12,0,39,0,64,1,0.9903846153846154,1.0,0.975,0.9873417721518988,0.9875
50,13,13,0,35,0,59,0,1.0,1.0,1.0,1.0,1.0
55,13,13,0,31,0,53,1,0.9882352941176471,1.0,0.96875,0.9841269841269841,0.984375
60,13,13,0,31,0,47,0,1.0,1.0,1.0,1.0,1.0
65,13,13,0,28,0,44,0,1.0,1.0,1.0,1.0,1.0
70,12,12,0,25,0,42,0,1.0,1.0,1.0,1.0,1.0
75,12,12,0,24,0,39,0,1.0,1.0,1.0,1.0,1.0
80,12,12,0,22,0,37,0,1.0,1.0,1.0,1.0,1.0
