Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,9,33,24,457,181,230,65,0.7363344051446945,0.7163009404388715,0.8754789272030651,0.7879310344827586,0.7175448163995861
10,9,24,15,231,91,115,30,0.7408993576017131,0.717391304347826,0.8850574712643678,0.7924528301886793,0.7216549492244169
15,9,26,17,150,61,76,24,0.7266881028938906,0.7109004739336493,0.8620689655172413,0.7792207792207793,0.7084067455323433
20,9,21,12,116,45,57,16,0.7393162393162394,0.7204968944099379,0.8787878787878788,0.7918088737201365,0.7188057040998217
25,9,17,8,91,36,47,13,0.7379679144385026,0.7165354330708661,0.875,0.7878787878787878,0.7206325301204819
30,9,21,12,77,32,36,11,0.7243589743589743,0.7064220183486238,0.875,0.7817258883248731,0.7022058823529411
35,8,21,13,66,25,34,9,0.746268656716418,0.7252747252747253,0.88,0.7951807228915663,0.728135593220339
40,6,15,9,57,19,32,9,0.7606837606837606,0.75,0.8636363636363636,0.8028169014084507,0.7455436720142603
45,6,15,9,48,18,27,11,0.7211538461538461,0.7272727272727273,0.8135593220338984,0.768,0.7067796610169492
50,9,12,3,43,22,20,9,0.6702127659574468,0.6615384615384615,0.8269230769230769,0.7350427350427351,0.6515567765567765
55,8,12,4,39,19,18,9,0.6705882352941176,0.6724137931034483,0.8125,0.7358490566037735,0.6494932432432432
60,6,11,5,38,17,17,6,0.7051282051282052,0.6909090909090909,0.8636363636363636,0.7676767676767676,0.6818181818181819
65,7,10,3,33,13,19,7,0.7222222222222222,0.717391304347826,0.825,0.7674418604651163,0.709375
70,6,7,1,31,13,16,7,0.7014925373134329,0.7045454545454546,0.8157894736842105,0.7560975609756098,0.6837568058076224
75,8,9,1,29,17,10,7,0.6190476190476191,0.6304347826086957,0.8055555555555556,0.7073170731707317,0.587962962962963
80,6,14,8,25,12,14,8,0.6610169491525424,0.6756756756756757,0.7575757575757576,0.7142857142857143,0.6480186480186481
85,7,8,1,24,9,15,7,0.7090909090909091,0.7272727272727273,0.7741935483870968,0.75,0.6995967741935484
90,6,11,5,19,10,14,9,0.6346153846153846,0.6551724137931034,0.6785714285714286,0.6666666666666666,0.6309523809523809
