Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,36,36,0,171,770,0,0.8182784272051009,0.0,0.0,0.0,0.8182784272051009
10,0,34,34,0,84,387,0,0.821656050955414,0.0,0.0,0.0,0.821656050955414
15,0,27,27,0,51,263,0,0.8375796178343949,0.0,0.0,0.0,0.8375796178343949
20,0,24,24,0,44,192,0,0.8135593220338984,0.0,0.0,0.0,0.8135593220338984
25,0,19,19,0,36,153,0,0.8095238095238095,0.0,0.0,0.0,0.8095238095238095
30,0,22,22,0,35,122,0,0.7770700636942676,0.0,0.0,0.0,0.7770700636942676
35,0,21,21,0,25,110,0,0.8148148148148148,0.0,0.0,0.0,0.8148148148148148
40,0,13,13,0,17,101,0,0.8559322033898306,0.0,0.0,0.0,0.8559322033898306
45,0,19,19,0,26,79,0,0.7523809523809524,0.0,0.0,0.0,0.7523809523809524
50,0,11,11,0,17,78,0,0.8210526315789474,0.0,0.0,0.0,0.8210526315789474
